ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Бельский Василий Владимирович,01-021-03-01,судья и председатель,назначен,,бессрочно,
Борейко Георгий Кириллович,01-009-03-01,судья,назначен,,бессрочно,
Вабищевич Александр Михайлович,01-010-03-01,судья и председатель,назначен,,бессрочно,
Вакульчик Евгений Лукьянович,01-002-03-02,судья и председатель,назначен,,бессрочно,
Воробей Василий Дмитриевич,01-010-03-01,судья,назначен,,бессрочно,
Дегиль Софья Васильевна,суд Кобринского района и г.Кобрина,судья и председатель,назначен,,бессрочно,
Кмита Николай Алексеевич,01-013-03-01,судья и председатель,назначен,,бессрочно,
Кравчук Анна Ивановна,суд г.Пинска,судья,назначен,,бессрочно,
Кравчук Анна Ивановна,суд Пинского района,судья,освобожден,,,
Кривулец Николай Афанасьевич,суд г.Барановичи,судья и председатель,назначен,,бессрочно,
Лагода Елена Александровна,01-017-03-01,судья,назначен,,бессрочно,
Леванчук Мария Ильинична,01-002-03-02,судья,назначен,,бессрочно,
Мешкевич Иван Иванович,01-006-03-01,судья и председатель,назначен,,бессрочно,
Некрасов Иосиф Игоревич,суд г.Пинска,судья,назначен,,бессрочно,
Павловец Фома Иванович,суд Пинского района,судья и председатель,назначен,,бессрочно,
Пивовар Станислав Степанович,суд г.Барановичи,судья,назначен,,бессрочно,
Стаховец Федор Владимирович,01-018-03-01,судья,назначен,,бессрочно,
Татаревич Иван Станиславович,суд г.Пинска,заместитель председателя,назначен,,бессрочно,
Черняк Татьяна Михайловна,01-018-03-01,судья и председатель,назначен,,бессрочно,
Борисовец Людмила Викторовна,суд Слуцкого района и г.Слуцка,судья,назначен,,бессрочно,
Гаврилович Николай Николаевич,05-016-03-01,судья,назначен,,бессрочно,
Захарова Галина Ивановна,суд Слуцкого района и г.Слуцка,судья,назначен,,бессрочно,
Космач Сергей Степанович,05-022-03-01,судья,назначен,,бессрочно,
Литвинович Сергей Георгиевич,суд г.Молодечно,судья,назначен,,бессрочно,
Троцюк Татьяна Ивановна,05-003-03-01,судья,назначен,,бессрочно,
Черковский Анатолий Станиславович,05-024-03-01,судья,назначен,,бессрочно,
Шаплыко Михаил Кузьмич,05-013-03-01,судья,назначен,,бессрочно,
Андреева Наталья Владимировна,07-008-03-01,судья,назначен,,бессрочно,




































