ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Омельянюк Александр Павлович,суд г.Пинска,судья и председатель,назначен,,бессрочно,
Омельянюк Александр Павлович,суд г.Пинска,заместитель председателя,освобожден,,,
Сачевка Иван Васильевич,01-017-03-01,судья по административным делам,назначен,,бессрочно,
Бегун Василий Васильевич,03-001-03-01,заместитель председателя,назначен,,бессрочно,
Бегун Василий Васильевич,03-002-03-04,судья,освобожден,,,
Ермольчик Елена Евгеньевна,суд Жлобинского района и г.Жлобина,судья по административным делам,назначен,,бессрочно,
Матарас Александр Васильевич,суд г.Речицы,судья,назначен,,бессрочно,
Одрибец Татьяна Ильинична,03-002-03-01,председатель,назначен,,бессрочно,
Одрибец Татьяна Ильинична,суд г.Речицы,председатель,освобожден,,,
Астрейко Людмила Иосифовна,суд Солигорского района и г.Солигорска,судья,назначен,,бессрочно,
Астрейко Людмила Иосифовна,суд Солигорского района и г.Солигорска,судья по административным делам,освобожден,,,
Драчан Людмила Александровна,05-016-03-01,председатель,назначен,,бессрочно,
Максимов Вадим Никифорович,суд Минского района и г.Заславля,судья,назначен,,бессрочно,
Максимов Вадим Никифорович,суд Минского района и г.Заславля,судья по административным делам,освобожден,,,
Руденкова Ирина Сергеевна,суд г.Молодечно,заместитель председателя,назначен,,бессрочно,
Борисенко Петр Алексеевич,06-004-03-01,судья по административным делам,назначен,,бессрочно,
Огладкова Наталья Владимировна,суд Ленинского района г.Бобруйска,судья по административным делам,назначен,,бессрочно,
Бортник Валентина Никифоровна,07-002-03-01,судья,назначен,,бессрочно,
Вареник Наталья Семеновна,07-008-03-01,судья,назначен,,бессрочно,
Кузнецова Наталья Анатольевна,07-003-03-01,судья,назначен,,бессрочно,
Лаппо Людмила Ивановна,07-008-03-01,судья,назначен,,бессрочно,
Макухо Виктория Анатольевна,07-006-03-01,судья,назначен,,бессрочно,
Мельгуй Лариса Аркадьевна,07-007-03-01,судья,назначен,,бессрочно,
Суслова Светлана Васильевна,07-007-03-01,судья,назначен,,бессрочно,
























