ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Городничева Татьяна Геннадьевна,05-002-03-01,судья,освобожден,по состоянию здоровья,,
Киселюк Вячеслав Михайлович,02-001-03-01,судья,освобожден,по собственному желанию,,
Лазутина Людмила Федоровна,06-002-03-02,судья,освобожден,по собственному желанию,,
Мизавцов Михаил Федорович,02-018-03-01,судья,освобожден,выход в отставку,,
Поповец Николай Александрович,Белорусский военный суд,судья,освобожден,по по состоянию здоровья,,
Будовская Оксана Сергеевна,05-002-03-01,судья,включить,состав президиума,бессрочно,









