ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Васюков Олег Дмитриевич,03-006-03-01,судья,назначен,,бессрочно,
Карпенко Галина Ивановна,03-011-03-01,судья по административным делам,назначен,,бессрочно,
Поправкин Андрей Анатольевич,03-018-03-01,судья,назначен,,бессрочно,
Сапоненко Людмила Владимировна,суд Светлогорского района и г.Светлогорска,судья,назначен,,бессрочно,
Аксененко Галина Федоровна,06-000-03-01,судья,назначен,,бессрочно,
Андреенко Лариса Анатольевна,06-000-03-01,судья,назначен,,бессрочно,
Бобко Валентина Афанасьевна,06-000-03-01,судья,назначен,,бессрочно,
Мельников Михаил Павлович,06-000-03-01,судья,назначен,,бессрочно,
Навитанюк Владимир Александрович,06-000-03-01,судья,назначен,,бессрочно,
Пискунов Виталий Викторович,06-019-03-01,судья по административным делам,назначен,,бессрочно,
Пуцило Владимир Григорьевич,06-000-03-01,судья и заместитель председателя,назначен,,бессрочно,
Чаленко Зинаида Николаевна,06-000-03-01,судья,назначен,,бессрочно,
Шведов Андрей Викторович,06-012-03-01,судья по административным делам,назначен,,бессрочно,
Павлючук Татьяна Евгеньевна,07-009-03-01,судья по административным делам,назначен,,бессрочно,
Патронова Лидия Александровна,05-002-03-01,судья,назначен,,бессрочно,





































