ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Басаревский Владимир Антонович,06-013-03-01,судья и председатель,освобожден,выход в отставку,,
Герасимчик Павел Филиппович,05-000-03-01,судья и заместитель председателя,освобожден,выход в отставку,,
Куликов Михаил Антонович,06-007-03-01,судья и председатель,освобожден,выход в отставку,,
Морозов Валерий Петрович,02-021-03-01,судья,освобожден,по собственному желанию,,
Плесунова Надежда Емельянова,03-002-03-01,судья,освобожден,выход в отставку,,










