ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Демещенко Елена Александровна,суд г.Орши,судья по административным делам,назначен,,бессрочно,
Верига Ирина Васильевна,03-002-03-03,заместитель председателя,назначен,,бессрочно,
Цыганок Петр Петрович,03-022-03-01,судья по административным делам,назначен,,бессрочно,
Богдан Тамара Ивановна,04-018-03-01,судья и председатель,назначен,,бессрочно,
Бойса Иосиф Брониславович,04-010-03-01,судья и председатель,назначен,,бессрочно,
Грудская Галина Ивановна,04-011-03-01,судья и председатель,назначен,,бессрочно,
Друц Эдуард Михайлович,04-000-03-01,судья,назначен,,бессрочно,
Друц Эдуард Михайлович,04-002-03-01,судья,освобожден,,,
Жуковская Людмила Константиновна,04-002-03-01,судья,назначен,,бессрочно,
Киндра Алина Федоровна,04-017-03-01,судья,назначен,,бессрочно,
Кишкун Владимир Степанович,04-002-03-02,судья,назначен,,бессрочно,
Коваленко Светлана Петровна,суд г.Лиды,судья и председатель,назначен,,бессрочно,
Крупович Владимир Леонардович,суд Лидского района,судья,назначен,,бессрочно,
Кулаковский Валерий Леонтьевич,04-002-03-02,председатель,назначен,,бессрочно,
Кулаковский Валерий Леонтьевич,04-002-03-01,заместитель председателя,освобожден,,,
Медведь Михаил Михайлович,суд Слонимского района и г.Слонима,судья и председатель,назначен,,бессрочно,
Пипко Сергей Николаевич,суд г.Лиды,судья,назначен,,бессрочно,
Полякова Лариса Валентиновна,04-001-03-01,судья,назначен,,бессрочно,
Прокопик Анатолий Михайлович,04-002-03-01,судья,назначен,,бессрочно,
Прокопик Анатолий Михайлович,04-002-03-02,председатель,освобожден,,,
Шелег Николай Александрович,04-017-03-01,судья и председатель,назначен,,бессрочно,
Шлапик Иван Иванович,04-001-03-01,судья и председатель,назначен,,бессрочно,
Раевская Инесса Валентиновна,05-024-03-01,судья,назначен,,бессрочно,
Тарасик Наталья Владимировна,05-024-03-01,председатель,назначен,,бессрочно,
Гербелев Александр Иванович,06-018-03-01,судья по административным делам,назначен,,бессрочно,
Головаченко Владимир Николаевич,суд Ленинского района г.Бобруйска,председатель,назначен,,бессрочно,
Головаченко Владимир Николаевич,суд Ленинского района г.Бобруйска,заместитель председателя,освобожден,,,



























