ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Андрейчук Николай Константинович,01-011-03-01,судья и председатель,назначен,,бессрочно,
Денисович Михаил Васильевич,01-021-03-01,судья,назначен,,бессрочно,
Новик Виктор Викторович,01-008-03-01,председатель,назначен,,бессрочно,
Новик Виктор Викторович,суд Солигорского района и г. Солигорска,судья,освобожден,,,
Репиха Николай Викторович,01-017-03-01,судья и председатель,назначен,,бессрочно,
Горланова Галина Ивановна,02-001-03-01,судья и председатель,назначен,,бессрочно,
Купрацевич Михаил Савельевич,02-021-03-01,судья и председатель,назначен,,бессрочно,
Мурашкина Людмила Владимировна,02-012-03-01,судья по административным делам,назначен,,бессрочно,
Николаев Алексей Юрьевич,02-006-03-01,судья по административным делам,назначен,,бессрочно,
Ожиганов Вячеслав Васильевич,02-008-03-01,судья и председатель,назначен,,бессрочно,
Трапук Станислав Павлович,02-007-03-01,судья и председатель,назначен,,бессрочно,
Чистякова Марина Анатольевна,02-002-03-01,судья,назначен,,бессрочно,
Русак Валентин Иосифович,05-021-03-01,судья и председатель,назначен,,бессрочно,
Вагина Валентина Борисовна,06-022-03-01,судья,назначен,,бессрочно,
Гавриков Анатолий Алексеевич,06-017-03-01,судья,назначен,,бессрочно,
Гуз Владимир Сергеевич,06-004-03-01,судья и председатель,назначен,,бессрочно,
Гулевич Татьяна Ильинична,суд Бобруйского района,судья и председатель,назначен,,бессрочно,
Клековкина Ольга Львовна,06-001-03-01,судья и председатель,назначен,,бессрочно,
Кужелева Галина Александровна,суд Центрального района г. Могилева,судья и председатель,назначен,,бессрочно,
Кужелева Галина Александровна,суд Центрального района г. Могилева,заместитель председателя,освобожден,,,
Лыщенко Николай Тимофеевич,06-015-03-01,судья и председатель,назначен,,бессрочно,
Лях Клара Петровна,06-006-03-01,судья и председатель,назначен,,бессрочно,
Покопова Татьяна Сергеевна,06-014-03-01,судья и председатель,назначен,,бессрочно,
Ситник Станислав Степанович,06-017-03-01,судья и председатель,назначен,,бессрочно,
Смолко Татьяна Михайловна,06-013-03-01,председатель,назначен,,бессрочно,
Шандарович Станислав Станиславович,суд Центрального района г. Могилева,заместитель председателя,назначен,,бессрочно,
Борисенок Анатолий Владимирович,07-005-03-01,судья,назначен,,бессрочно,
Борисенок Анатолий Владимирович,07-009-03-01,судья по административным делам,освобожден,,,
Савич Анатолий Григорьевич,07-003-03-01,председатель,назначен,,бессрочно,
Савич Анатолий Григорьевич,07-003-03-01,заместитель председателя,освобожден,,,






































