ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Аршинова Татьяна Брониславовна,02-009-03-01,судья и председатель,освобожден,выход в отставку,,
Добрыднев Владимир Леонович,06-010-03-01,судья,освобожден,выход в отставку,,
Журавкина Галина Ивановна,02-019-03-01,судья и председатель,освобожден,выход в отставку,,
Зубович Казимир Иванович,05-002-03-01,судья,освобожден,выход в отставку,,
Коваленко Валентин Дмитриевич,02-002-03-01,судья,освобожден,невозможность нахождения в должности,,
Курилин Михаил Михайлович,03-006-03-01,судья и председатель,освобожден,выход в отставку,,
Плотникова Галина Петровна,суд Центрального района г.Могилева,судья и председатель,освобожден,выход в отставку,,
Хамрителева Прасковья Григорьевна,06-016-03-01,судья и председатель,освобожден,выход в отставку,,










