ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Дедковская Светлана Евгеньевна,02-000-03-01,судья,назначен,,бессрочно,
Ломако Сергей Иванович,02-000-03-01,судья,назначен,,бессрочно,
Гаращенко Михаил Иванович,03-021-03-01,судья,назначен,,бессрочно,
Друц Эдуард Михайлович,04-000-03-01,судья,назначен,,бессрочно,
Корзун Александр Анатольевич,04-000-03-01,судья,назначен,,бессрочно,
Толстик Александр Александрович,04-008-03-01,судья,назначен,,бессрочно,
Букато Игорь Ростиславович,суд Минского района и г.Заславля,заместитель председателя,назначен,,бессрочно,
Никулин Александр Михайлович,05-000-03-01,судья,назначен,,бессрочно,
Точкар Александр Федорович,суд Минского района и г.Заславля,судья по административным делам,назначен,,бессрочно,
Зайцев Александр Александрович,06-007-03-01,судья и председатель,назначен,,бессрочно,
Ковалева Галина Григорьевна,06-002-03-02,судья,назначен,,бессрочно,
Черепухо Наталья Ивановна,суд Ленинского района г.Бобруйска,судья по административным делам,назначен,,бессрочно,
Кропивка Алла Львовна,07-007-03-01,судья,назначен,,бессрочно,

