ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Стефановский Игорь Эдуардович,Витебский межгарнизонный военный суд,судья,назначен,,бессрочно,
Гринкевич Иван Иосифович,05-003-03-01,судья,назначен,,бессрочно,
Зубарь Людмила Никодимовна,суд Слуцкого района и г. Слуцка,судья,назначен,,бессрочно,
Каплий Дмитрий Дмитриевич,05-004-03-01,судья по административным делам,назначен,,бессрочно,
Кобец Юрий Викторович,суд Г.Борисова,заместитель председателя,назначен,,бессрочно,
Авласевич Денис Михайлович,суд Центрального района г. Могилева,судья,назначен,,бессрочно,
Андросенко Валентина Ивановна,06-012-03-01,судья,назначен,,бессрочно,
Гаврилюк Нина Ивановна,06-002-03-01,судья,назначен,,бессрочно,
Касько Светлана Ароновна,суд Ленинского района г. Бобруйска,судья,назначен,,бессрочно,
Малашенок Ирина Михайловна,06-005-03-01,судья,назначен,,бессрочно,
Митькова Алина Ивановна,06-004-03-01,судья,назначен,,бессрочно,
Окань Ольга Ивановна,06-014-03-01,судья,назначен,,бессрочно,
Пархоменко Татьяна Григорьевна,06-019-03-01,судья,назначен,,бессрочно,
Семин Леонид Иосифович,06-011-03-01,судья,назначен,,бессрочно,
Туленкова Анна Михайловна,суд Центрального района г. Могилева,судья,назначен,,бессрочно,
Лаптева Елена Вячеславовна,07-001-03-01,судья,назначен,,бессрочно,
Хвойницкая Жанна Анатольевна,07-001-03-01,судья,назначен,,бессрочно,
Хвойницкая Жанна Анатольевна,07-001-03-01,судья по административным делам,освобожден,,,






























