ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Богуш Людмила Евгеньевна,хозяйственный суд Могилевской области,судья,назначен,,бессрочно,
Данченко Николай Анатолевич,хозяйственный суд Гомельской области,судья и председатель,назначен,,бессрочно,
Жандаров Валерий Владимирович,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Жандаров Валерий Владимирович,хозяйственный суд Минской области,судья и заместитель председателя,освобожден,,,
Казаков Олег Валерьевич,хозяйственный суд Брестской области,судья,назначен,,бессрочно,
Ломаник Дмитрий Михайлович,хозяйственный суд Гродненской области,судья,назначен,,бессрочно,
Новиков Владимир Михайлович,хозяйственный суд Могилевской области,судья,назначен,,бессрочно,
Юмагужин Руслан Хадыевич,хозяйственный суд Минской области,судья и заместитель председателя,назначен,,бессрочно,
Юмагужин Руслан Хадыевич,хозяйственный суд г. Минска,судья,освобожден,,,

