ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Бабицкая Диана Павловна,07-001-03-01,судья,освобожден,выход в отставку,,
Карпекина Елена Ивановна,07-003-03-01,судья,освобожден,по собственному желанию,,
Колосовский Сергей Владимирович,суд Центрального района г. Могилева,судья,освобожден,по собственному желанию,,
Минько Александр Владимирович,суд г.Молодечно,судья по административным делам,освобожден,по собственному желанию,,
Моняк Геннадий Александрович,05-015-03-01,судья и председатель,освобожден,выход в отставку,,
Щепетов Алексей Евгеньевич,Белорусский военный суд,судья,освобожден,по состоянию здоровья,,
Степурко Владимир Михайлович,05-002-03-01,судья,включить,состав президиума,бессрочно,










