ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Паутов Александр Михайлович,Борисовский межгарнизонный военный суд,судья,назначен,,бессрочно,
Рутковский Игорь Иванович,Белорусский военный суд,судья,назначен,,бессрочно,
Рутковский Игорь Иванович,Минский межгарнизонный военный суд,заместитель председателя,освобожден,,,
Савюк Иван Николаевич,Витебский межгарнизонный военный суд,судья и председатель,назначен,,бессрочно,
Бобровский Петр Петрович,01-002-03-02,судья по административным делам,назначен,,бессрочно,
Беланова Вера Дмитриева,суд Оршанского района,судья,назначен,,бессрочно,
Егорова Елена Викторовна,суд Полоцкого района,судья,назначен,,бессрочно,
Ковалева Валентина Владимировна,02-002-03-01,заместитель председателя,назначен,,бессрочно,
Козловский Николай Павлович,02-011-03-01,заместитель председателя,назначен,,бессрочно,
Корытко Анатолий Викторович,02-016-03-01,судья и председатель,назначен,,бессрочно,
Космыкова Любовь Михайловна,02-012-03-01,судья и председатель,назначен,,бессрочно,
Морозов Иван Иванович,02-023-03-01,судья,назначен,,бессрочно,
Урбанович Галина Николаевна,02-022-03-01,судья и председатель,назначен,,бессрочно,
Шулевская Татьяна Ивановна,02-019-03-01,судья,назначен,,бессрочно,
Берестов Василий Васильевич,03-018-03-01,судья,назначен,,бессрочно,
Глюза Анатолий Валентинович,03-008-03-01,судья,назначен,,бессрочно,
Дмитренко Григорий Иванович,03-002-03-04,судья,назначен,,бессрочно,
Докучаев Сергей Александрович,03-014-03-01,судья по административным делам,назначен,,бессрочно,
Докучаев Сергей Александрович,03-007-03-01,судья по административным делам,освобожден,,,
Костриков Александр Иванович,03-002-03-04,судья,назначен,,бессрочно,
Савостянова Людмила Анатольевна,03-010-03-01,судья,назначен,,бессрочно,
Сигай Александр Алексеевич,03-007-03-01,судья по административным делам,назначен,,бессрочно,
Сергей Галина Антоновна,04-002-03-02,судья,назначен,,бессрочно,
Абрамович Мария Марьяновна,05-014-03-01,судья,назначен,,бессрочно,
Абрамчик Юрий Анатольевич,05-006-03-01,судья,назначен,,бессрочно,
Бойко Нина Николаевна,суд Солигорского района и г.Солигорска,судья,назначен,,бессрочно,
Добродей Анатолий Иванович,05-022-03-01,судья,назначен,,бессрочно,
Жакевич Марина Феликсовна,05-019-03-01,судья,назначен,,бессрочно,
Кулага Галина Петровна,суд Минского района и г.Заславля,судья,назначен,,бессрочно,
Любанец Тамара Леонидовна,05-009-03-01,судья,назначен,,бессрочно,
Люцко Валентина Георгиевна,суд Слуцкого района и г.Слуцка,судья,назначен,,бессрочно,
Михонский Иосиф Иосифович,05-007-03-01,судья,назначен,,бессрочно,
Молчанова Лидия Александровна,суд г.Борисова,судья,назначен,,бессрочно,
Понкратов Василий Васильевич,05-011-03-01,судья,назначен,,бессрочно,
Руденкова Ирина Сергеевна,суд г.Молодечно,судья,назначен,,бессрочно,
Трофимчук Алла Александровна,суд Солигорского района и г.Солигорска,судья,назначен,,бессрочно,
Хаткевич Елена Владимировна,05-007-03-01,судья,назначен,,бессрочно,
Авчинко Леонид Иванович,07-001-03-01,судья и председатель,назначен,,бессрочно,
Босько Ирина Вацлавовна,07-004-03-01,судья,назначен,,бессрочно,
Брысина Жанна Леонидовна,07-001-03-01,судья,назначен,,бессрочно,
Гилепа Александр Сельвестрович,07-008-03-01,судья и председатель,назначен,,бессрочно,
Грачева Людмила Андреевна,07-002-03-01,судья,назначен,,бессрочно,
Дубинина Жанна Петровна,07-001-03-01,судья,назначен,,бессрочно,
Жолнерчик Любовь Васильевна,07-002-03-01,судья,назначен,,бессрочно,
Карпинчик Александр Антонович,07-006-03-01,судья,назначен,,бессрочно,
Колос Денис Георгиевич,07-008-03-01,судья,назначен,,бессрочно,
Кузьменкова Элла Ивановна,07-005-03-01,судья,назначен,,бессрочно,
Кулакова Татьяна Евгеньевна,07-008-03-01,судья,назначен,,бессрочно,
Мардович Ирина Ивановна,07-001-03-01,судья,назначен,,бессрочно,
Политыко Светлана Алексеевна,07-001-03-01,судья,назначен,,бессрочно,
Прудникова Елена Михайловна,07-005-03-01,судья,назначен,,бессрочно,
Риштовская Маргарита Ивановна,07-004-03-01,судья,назначен,,бессрочно,
Тупик Вера Михайловна,07-002-03-01,судья,назначен,,бессрочно,
Фомина Наталья Семеновна,07-008-03-01,судья,назначен,,бессрочно,
Хрущевская Лидия Порфирьевна,07-008-03-01,судья,назначен,,бессрочно,
Чвала Владимир Васильевич,07-007-03-01,судья и председатель,назначен,,бессрочно,
Черевач Владимир Олегович,07-004-03-01,судья,назначен,,бессрочно,
Шапошникова Людмила Игоревна,05-002-03-01,судья,назначен,,бессрочно,
Шапошникова Людмила Игоревна,07-008-03-01,судья,освобожден,,,
Шемет Елена Васильевна,07-001-03-01,судья,назначен,,бессрочно,



































