ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Боричевский Петр Васильевич,01-014-03-01,судья,назначен,,бессрочно,
Валуй Леокадия Арсентьевна,суд Барановичского района,судья и председатель,назначен,,бессрочно,
Калюта Леонтий Иванович,01-002-03-02,судья,назначен,,бессрочно,
Капуза Александра Петровна,суд г.Барановичи,судья,назначен,,бессрочно,
Кисель Антон Казимирович,суд Барановичского района,судья,назначен,,бессрочно,
Ковенко Валентина Максимовна,01-001-03-01,судья,назначен,,бессрочно,
Макодай Петр Тодонович,суд Барановичского района,судья,назначен,,бессрочно,
Нефедченко Валентина Михайловна,01-007-03-01,судья,назначен,,бессрочно,
Прихожко Галина Степановна,01-011-03-01,судья,назначен,,бессрочно,
Станкевич Леонтий Александрович,01-007-03-01,судья и председатель,назначен,,бессрочно,
Степанчук Владимир Макарович,01-008-03-01,судья,назначен,,бессрочно,
Тарновская Анна Максимовна,01-014-03-01,судья и председатель,назначен,,бессрочно,
Татаревич Иван Станиславович,суд г.Пинска,судья и заместитель председателя,назначен,,бессрочно,
Янчук Юрий Павлович,01-010-03-01,судья,назначен,,бессрочно,
Янчук Юрий Павлович,01-010-03-01,судья по административным делам,освобожден,,,
Абашин Александр Викторович,02-002-03-02,судья,назначен,,бессрочно,
Досова Инна Геннадьевна,02-018-03-01,судья и председатель,назначен,,бессрочно,
Досова Инна Геннадьевна,02-018-03-01,судья по административным делам,освобожден,,,
Урбан Юрий Павлович,02-002-03-01,судья,назначен,,бессрочно,
Гормаш Людмила Брониславовна,03-016-03-01,судья,назначен,,бессрочно,
Грекова Валентина Михайловна,03-016-03-01,судья и председатель,назначен,,бессрочно,
Лобунец Владимир Иванович,03-002-03-01,судья,назначен,,бессрочно,
Бондарев Дмитрий Михайлович,05-017-03-01,судья,назначен,,бессрочно,
Галезник Александр Михайлович,суд Слуцкого района и г.Слуцка,судья и заместитель председателя,назначен,,бессрочно,
Глебко Татьяна Казимировна,05-023-03-01,судья,назначен,,бессрочно,
Крылович Роман Вячеславович,05-008-03-01,председатель,назначен,,бессрочно,
Малевич Игорь Яковлевич,05-015-03-01,судья,назначен,,бессрочно,
Семенидо Леонид Анатольевич,05-005-03-01,судья,назначен,,бессрочно,
Сыс Анатолий Макарович,05-008-03-01,судья,назначен,,бессрочно,
Федоровичев Юрий Александрович,05-008-03-01,судья,назначен,,бессрочно,
Шелепеня Виктор Викторович,05-005-03-01,судья и заместитель председателя,назначен,,бессрочно,











































