ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Бодак Алла Николаевна,07-000-00-01,судья,назначен,,бессрочно,
Козырева Лилия Григорьевна,07-000-00-01,судья,назначен,,бессрочно,
Миклашевич Петр Петрович,07-000-00-01,судья,назначен,,бессрочно,
Сергеева Ольга Геннадьевна,07-000-00-01,судья,назначен,,бессрочно,
Подгруша Валентина Васильевна,07-000-00-01,судья,освобожден,выход в отставку,,

