ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Касперович Эдуард Валерьевич,Брестский межгарнизонный военный суд,судья,назначен,,бессрочно,
Кореневский Андрей Павлович,Борисовский межгарнизонный военный суд,судья и председатель,назначен,,бессрочно,
Скоморощенко Игорь Петрович,Борисовский межгарнизонный военный суд,судья,назначен,,бессрочно,
Бабаскин Александр Михайлович,01-012-03-01,судья,назначен,,бессрочно,
Бычило Андрей Владимирович,01-015-03-01,судья,назначен,,бессрочно,
Василюк Андрей Анатольевич,01-002-03-01,судья,назначен,,бессрочно,
Космач Владимир Степанович,01-006-03-01,судья,назначен,,бессрочно,
Кременевская Светлана Борисовна,01-002-03-01,судья,назначен,,бессрочно,
Жоров Юрий Владимирович,03-001-03-01,судья по административным делам,назначен,на время нахождения в социальном отпуске Заставнецкой Тамары Николаевны,на период,
Зыль Ирина Николаевна,03-019-03-01,судья,назначен,,бессрочно,
Ксендзов Николай Петрович,03-001-03-01,судья,назначен,,бессрочно,
Ксендзов Николай Петрович,03-002-03-03,судья и председатель,освобожден,,,
Степанов Владимир Юрьевич,03-020-03-01,судья,назначен,,бессрочно,
Шамехин Алексей Васильевич,03-001-03-01,судья,назначен,,бессрочно,
Барцевич Зинаида Ивановна,04-002-03-02,судья,назначен,,бессрочно,
Герасимчик Николай Михайлович,04-011-03-01,судья,назначен,,бессрочно,
Давыдов Александр Георгиевич,04-014-03-01,судья,назначен,,бессрочно,
Михневич Вячеслав Ростиславович,04-005-03-01,судья,назначен,,бессрочно,
Олехнович Василий Петрович,04-012-03-01,судья,назначен,,бессрочно,
Хижняк Елена Иосифовна,04-012-03-01,судья,назначен,,бессрочно,
Янковский Геннадий Зигмунтович,04-013-03-01,судья,назначен,,бессрочно,
Гончарова Ольга Викторовна,суд Минского района и г. Заславля,судья,назначен,,бессрочно,
Гуров Сергей Викторович,05-000-03-01,судья,назначен,,бессрочно,
Гуров Сергей Викторович,суд Борисовского района и г. Борисова,судья,освобожден,,,
Дедок Александр Николаевич,05-000-03-01,судья,назначен,,бессрочно,
Дедок Александр Николаевич,03-000-03-01,судья и председатель,освобожден,,,
Карпиеня Инна Григорьевна,суд Солигорского района и г.Солигорска,судья,назначен,на время нахождения в социальном отпуске Астрейко Людмилы Иосифовны,на период,
Песецкий Виктор Викторович,05-007-03-01,судья,назначен,на время нахождения в социальном отпуске Нестеревской Татьяны Сергеевны,на период,
Сорока Ирина Анатольевна,06-002-03-01,судья,назначен,,бессрочно,
Сорока Ирина Анатольевна,суд Центрального района г. Могилева,судья по административным делам,освобожден,,,
Ткачук Сергей Иванович,суд Бобруйского района,судья,назначен,,бессрочно,
Ткачук Сергей Иванович,суд Бобруйского района,судья по административным делам,освобожден,,,




