ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Антошук Иван Маркович,суд г.Мозыря,судья,назначен,,бессрочно,
Демидчик Валентина Николаевна,03-002-03-03,судья,назначен,,бессрочно,
Зяткина Марина Георгиевна,03-019-03-01,судья и заместитель председателя,назначен,,бессрочно,
Крупенкина Евдокия Алексеевна,03-000-03-01,судья,назначен,,бессрочно,
Тимошенко Петр Прохорович,суд Жлобинского района и г.Жлобина,судья,назначен,,бессрочно,
Черношей Галина Анатольевна,03-002-03-01,судья,назначен,,бессрочно,
Бандыка Петр Петрович,04-000-03-01,судья,назначен,,бессрочно,
Лойша Игорь Михайлович,04-002-03-01,судья,назначен,,бессрочно,
Соболев Игорь Владимирович,04-000-03-01,судья,назначен,,бессрочно,
Соболев Игорь Владимирович,04-018-03-01,судья,освобожден,,,
Сухоцкий Василий Николаевич,суд Слонимского района и г.Слонима,судья,назначен,,бессрочно,
Плешевеня Наталья Борисовна,05-013-03-01,судья,назначен,,бессрочно,
Плешевеня Наталья Борисовна,05-004-03-01,судья,освобожден,,,
Путрич Максим Владимирович,суд Минского района и г.Заславля,судья,назначен,,бессрочно,
Гуринович Лилия Георгиевна,06-000-03-01,судья,назначен,,бессрочно,
Гуринович Лилия Георгиевна,суд Центрального района г. Могилева,судья,освобожден,,,
Мазуров Валерий Владимирович,06-002-03-02,судья,назначен,,бессрочно,
Зайцева Виктория Геннадьевна,07-006-03-01,судья,назначен,,бессрочно,
Михонский Иосиф Иосифович,05-002-03-01,судья,назначен,,бессрочно,
Михонский Иосиф Иосифович,05-007-03-01,судья и председатель,освобожден,,,
Пыкина Наталья Михайловна,07-005-03-01,судья,назначен,,бессрочно,
Савич Анатолий Григорьевич,07-003-03-01,судья,назначен,,бессрочно,
Самосейко Николай Леонидович,05-002-03-01,судья,назначен,,бессрочно,
Соловьева Зоя Станиславовна,05-002-03-01,судья,назначен,,бессрочно,
Соловьева Зоя Станиславовна,суд г.Орши,судья,освобожден,,,































