ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Бойко Светлана Геннадьевна,01-017-03-01,судья,освобожден,по собственному желанию,,
Вербицкий Николай Петрович,суд г.Барановичи,судья и заместитель председателя,освобожден,по собственному желанию,,
Ежкова Татьяна Петровна,суд г.Орши,судья,освобожден,выход в отставку,,
Макарушко Владимир Владимирович,суд Пинского района,судья,освобожден,по собственному желанию,,
Матвеенкова Лариса Викторовна,05-012-03-01,судья,освобожден,по собственному желанию,,
Шалоха Роман Евгеньевич,суд г.Молодечно,судья и председатель,освобожден,по собственному желанию,,
Щиглинский Юрий Иванович,04-002-03-01,судья,освобожден,перевод на другую работу,,












