ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Балябин Виктор Николаевич,Бобруйский межгарнизонный военный суд,судья и председатель,назначен,,бессрочно,
Гущин Антон Иванович,01-013-03-01,судья по административным делам,назначен,на время нахождения в социальном отпуске Казак Тамары Павловны,на период,
Воротынская Светлана Владимировна,02-002-03-01,судья,назначен,,бессрочно,
Ковалева Валентина Владимировна,02-002-03-01,судья,назначен,,бессрочно,
Лакеенкова Людмила Васильевна,02-002-03-01,судья,назначен,,бессрочно,
Ларина Людмила Станиславовна,02-002-03-03,судья,назначен,,бессрочно,
Левченок Петр Владимирович,02-003-03-01,заместитель председателя,назначен,,бессрочно,
Саганович Иван Николаевич,02-012-03-01,судья,назначен,,бессрочно,
Белодедов Александр Михайлович,суд Мозырьского района и г. Мозыря,судья по административным делам,назначен,,бессрочно,
Белорусов Владимир Николаевич,суд Мозырьского района и г. Мозыря,судья по административным делам,назначен,,бессрочно,
Белорусов Владимир Николаевич,суд г. Мозыря,судья по административным делам,освобожден,,,
Сильченко Инна Владимировна,03-011-03-01,судья,назначен,,бессрочно,
Козел Александр Болеславович,04-009-03-01,судья,назначен,,бессрочно,
Добранов Александр Владимирович,05-010-03-01,судья,назначен,,бессрочно,







