ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Зозуля Галина Николаевна,02-002-03-03,судья по административным делам,освобожден,по собственному желанию,,
Клименков Валерий Георгиевич,06-000-03-01,судья,освобожден,выход в отставку,,
Макаревич Александр Петрович,суд Солигорского района и г.Солигорска,судья по административным делам,освобожден,по собственному желанию,,
Романова Лидия Петровна,06-020-03-01,судья и председатель,освобожден,по собственному желанию,,
Ядройцева Людмила Анатольевна,02-004-03-01,судья по административным делам,освобожден,по собственному желанию,,











