ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Орлов Петр Александрович,Минский межгарнизонный военный суд,судья,назначен,,бессрочно,
Панада Александр Петрович,Брестский межгарнизонный военный суд,судья,назначен,,бессрочно,
Рутковский Игорь Иванович,Белорусский военный суд,судья,назначен,,бессрочно,
Бобровский Петр Петрович,01-002-03-02,судья,назначен,,бессрочно,
Бобровский Петр Петрович,01-002-03-02,судья по административным делам,освобожден,,,
Крыпа Ирина Семеновна,01-001-03-01,судья,назначен,,бессрочно,
Мельников Виктор Михайлович,03-000-03-01,судья,назначен,,бессрочно,
Артиш Янина Станиславовна,04-011-03-01,судья,назначен,,бессрочно,
Верхось Жанна Генриховна,04-002-03-02,судья,назначен,,бессрочно,
Исаева Людмила Петровна,04-003-03-01,судья,назначен,,бессрочно,
Климова Татьяна Викторовна,04-002-03-02,судья и заместитель председателя,назначен,,бессрочно,
Климова Татьяна Викторовна,04-002-03-01,судья,освобожден,,,
Радюк Игорь Ростиславович,04-000-03-01,судья,назначен,,бессрочно,
Головаченко Владимир Николаевич,суд Ленинского района г.Бобруйска,судья,назначен,,бессрочно,
Казусенок Александр Александрович,суд Первомайского района г.Бобруйска,судья,назначен,,бессрочно,
Кашкина Татьяна Антонионовна,06-022-03-01,судья,назначен,,бессрочно,
Полуян Ольга Владимировна,06-020-03-01,судья,назначен,,бессрочно,
Пуцило Владимир Григорьевич,06-000-03-01,судья,назначен,,бессрочно,























