ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Валуй Леокадия Арсентьевна,01-003-03-01,судья,назначен,,бессрочно,
Валуй Леокадия Арсентьевна,суд Барановичского района,судья и председатель,освобожден,,,
Горбачик Нина Николаевна,01-003-03-01,судья,назначен,,бессрочно,
Горбачик Нина Николаевна,суд г.Барановичи,судья,освобожден,,,
Данильчик Сергей Владимирович,01-003-03-01,судья,назначен,,бессрочно,
Данильчик Сергей Владимирович,суд г.Барановичи,судья,освобожден,,,
Капачевская Жанна Матвеевна,01-003-03-01,судья по административным делам,назначен,,бессрочно,
Капачевская Жанна Матвеевна,суд г.Барановичи,судья по административным делам,освобожден,,,
Капуза Александра Петровна,01-003-03-01,судья по административным делам,назначен,,бессрочно,
Капуза Александра Петровна,суд г.Барановичи,судья по административным делам,освобожден,,,
Кисель Антон Казимирович,01-003-03-01,судья,назначен,,бессрочно,
Кисель Антон Казимирович,суд Барановичского района,судья,освобожден,,,
Кудрейко Светлана Васильевна,01-003-03-01,судья,назначен,,бессрочно,
Кудрейко Светлана Васильевна,суд г.Барановичи,судья,освобожден,,,
Кушева Оксана Дмитриевна,01-003-03-01,судья по административным делам,назначен,,бессрочно,
Кушева Оксана Дмитриевна,суд г.Барановичи,судья по административным делам,освобожден,,,
Макодай Петр Тодонович,01-003-03-01,судья,назначен,,бессрочно,
Макодай Петр Тодонович,суд Барановичского района,судья,освобожден,,,
Пивовар Станислав Степанович,01-003-03-01,судья,назначен,,бессрочно,
Пивовар Станислав Степанович,суд г.Барановичи,судья,освобожден,,,
Ружик Татьяна Чеславовна,01-003-03-01,судья по административным делам,назначен,,бессрочно,
Ружик Татьяна Чеславовна,суд г.Барановичи,судья по административным делам,освобожден,,,
Сельманович Николай Иосифович,01-003-03-01,судья,назначен,,бессрочно,
Сельманович Николай Иосифович,суд г.Барановичи,судья,освобожден,,,
Соловей Иосиф Иосифович,01-003-03-01,судья,назначен,,бессрочно,
Соловей Иосиф Иосифович,суд г.Барановичи,судья,освобожден,,,
Чиркун Константин Константинович,01-003-03-01,судья,назначен,,бессрочно,
Чиркун Константин Константинович,суд г.Барановичи,судья,освобожден,,,
Бабаскин Александр Витальевич,01-012-03-01,судья,назначен,,бессрочно,
Бабаскин Александр Витальевич,суд Кобринского района и г.Кобрина,судья,освобожден,,,
Дегиль Софья Васильевна,01-012-03-01,судья и председатель,назначен,,бессрочно,
Дегиль Софья Васильевна,суд Кобринского района и г.Кобрина,судья и председатель,освобожден,,,
Калиновский Сергей Алексеевич,01-012-03-01,судья,назначен,,бессрочно,
Калиновский Сергей Алексеевич,суд Кобринского района и г.Кобрина,судья,освобожден,,,
Марчук Александр Петрович,01-012-03-01,судья,назначен,,бессрочно,
Марчук Александр Петрович,суд Кобринского района и г.Кобрина,судья,освобожден,,,
Савчук Владимир Владимирович,01-012-03-01,судья по административным делам,назначен,,бессрочно,
Савчук Владимир Владимирович,суд Кобринского района и г.Кобрина,судья по административным делам,освобожден,,,
Климович Игорь Сергеевич,01-015-03-01,судья,назначен,,бессрочно,
Климович Игорь Сергеевич,суд г.Пинска,судья,освобожден,,,
Кравчук Анна Ивановна,01-015-03-01,судья,назначен,,бессрочно,
Кравчук Анна Ивановна,суд г.Пинска,судья,освобожден,,,
Лещенко Андрей Леонидович,01-015-03-01,судья,назначен,,бессрочно,
Лещенко Андрей Леонидович,суд г.Пинска,судья,освобожден,,,
Лобачевская Раиса Ивановна,01-015-03-01,судья по административным делам,назначен,,бессрочно,
Лобачевская Раиса Ивановна,суд г.Пинска,судья по административным делам,освобожден,,,
Некрасов Иосиф Игоревич,01-015-03-01,судья,назначен,,бессрочно,
Некрасов Иосиф Игоревич,суд г.Пинска,судья,освобожден,,,
Омельянюк Александр Павлович,01-015-03-01,судья и председатель,назначен,,бессрочно,
Омельянюк Александр Павлович,суд г.Пинска,судья и председатель,освобожден,,,
Павловец Фома Иванович,01-015-03-01,судья,назначен,,бессрочно,
Павловец Фома Иванович,суд г.Пинска,судья,освобожден,,,
Станкевич Павел Иванович,01-015-03-01,судья по административным делам,назначен,,бессрочно,
Станкевич Павел Иванович,суд г.Пинска,судья по административным делам,освобожден,,,
Татаревич Иван Станиславович,01-015-03-01,судья и заместитель председателя,назначен,,бессрочно,
Татаревич Иван Станиславович,суд г.Пинска,судья и заместитель председателя,освобожден,,,
Беланова Вера Дмитриевна,02-014-03-01,судья,назначен,,бессрочно,
Беланова Вера Дмитриевна,суд Оршанского района,судья,освобожден,,,
Бурко Сергей Эдуардович,02-014-03-01,судья,назначен,,бессрочно,
Бурко Сергей Эдуардович,суд Оршанского района,судья,освобожден,,,
Демещенко Елена Александровна,02-014-03-01,судья по административным делам,назначен,,бессрочно,
Демещенко Елена Александровна,суд г.Орши,судья по административным делам,освобожден,,,
Демух Татьяна Ивановна,02-014-03-01,судья,назначен,,бессрочно,
Демух Татьяна Ивановна,суд г.Орши,судья,освобожден,,,
Дмитриев Владимир Васильевич,02-014-03-01,судья,назначен,,бессрочно,
Дмитриев Владимир Васильевич,суд г.Орши,судья,освобожден,,,
Домкин Виктор Владимирович,02-014-03-01,судья,назначен,,бессрочно,
Домкин Виктор Владимирович,суд г.Орши,судья,освобожден,,,
Каретникова Антонина Ивановна,02-014-03-01,судья и председатель,назначен,,бессрочно,
Каретникова Антонина Ивановна,суд г.Орши,судья и председатель,освобожден,,,
Козлова Анжелика Альбертовна,02-014-03-01,судья,назначен,,бессрочно,
Козлова Анжелика Альбертовна,суд г.Орши,судья,освобожден,,,
Колесник Игорь Викторович,02-014-03-01,судья по административным делам,назначен,,бессрочно,
Колесник Игорь Викторович,суд г.Орши,судья по административным делам,освобожден,,,
Подгол Петр Александрович,02-014-03-01,судья,назначен,,бессрочно,
Подгол Петр Александрович,суд Оршанского района,судья и заместитель председателя,освобожден,,,
Рыбакова Татьяна Александровна,02-014-03-01,судья,назначен,,бессрочно,
Рыбакова Татьяна Александровна,суд г.Орши,судья,освобожден,,,
Тюменцева Наталья Александровна,02-014-03-01,судья и заместитель председателя,назначен,,бессрочно,
Тюменцева Наталья Александровна,суд г.Орши,судья и заместитель председаталя,освобожден,,,
Щадинская Раиса Михайловна,02-014-03-01,судья,назначен,,бессрочно,
Щадинская Раиса Михайловна,суд г.Орши,судья,освобожден,,,
Абрамова Наталья Алексеевна,02-015-03-01,судья по административным делам,назначен,,бессрочно,
Абрамова Наталья Алексеевна,суд г.Полоцка,судья по административным делам,освобожден,,,
Андрушенко Андрей Анатольевич,02-015-03-01,судья,назначен,,бессрочно,
Андрушенко Андрей Анатольевич,суд г.Полоцка,судья,освобожден,,,
Близнева Людмила Васильевна,02-015-03-01,судья,назначен,,бессрочно,
Близнева Людмила Васильевна,суд г.Полоцка,судья,освобожден,,,
Бобков Александр Вильевич,02-015-03-01,судья и заместитель председателя,назначен,,бессрочно,
Бобков Александр Вильевич,суд Полоцкого района,судья и председатель,освобожден,,,
Гуйвик Наталья Васильевна,02-015-03-01,судья,назначен,,бессрочно,
Гуйвик Наталья Васильевна,суд г.Полоцка,судья,освобожден,,,
Доротко Ирина Васильевна,02-015-03-01,судья,назначен,,бессрочно,
Доротко Ирина Васильевна,суд Полоцкого района,судья,освобожден,,,
