ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Васильева Наталья Алексеевна,02-002-03-01,судья,назначен,,бессрочно,
Фенченко Жанна Анатольевна,02-017-03-01,судья,назначен,,бессрочно,
Аземша Татьяна Яковлевна,03-002-03-01,судья,назначен,,бессрочно,
Акуленко Людмила Леонидовна,03-002-03-03,судья,назначен,,бессрочно,
Асатарьян Валерий Яковлевич,03-005-03-01,судья,назначен,,бессрочно,
Белявская Тамара Ивановна,03-017-03-01,председатель,назначен,,бессрочно,
Белявская Тамара Ивановна,03-008-03-01,судья,освобожден,,,
Загоровская Валентина Александровна,03-012-03-01,судья,назначен,,бессрочно,
Ивановский Александр Иванович,03-015-03-01,судья,назначен,,бессрочно,
Пинчук Владимир Владимирович,суд Добрушского района и г.Добруша,судья,назначен,,бессрочно,
Пухлякова Ирина Николаевна,03-002-03-04,судья,назначен,,бессрочно,
Симанович Зоя Александровна,суд г.Мозыря,судья,назначен,,бессрочно,
Житкевич Арнольд Леонидович,04-002-03-01,судья,назначен,,бессрочно,
Житкевич Арнольд Леонидович,04-002-03-02,судья,освобожден,,,
Алехнович Наталья Васильевна,суд г.Борисова,председатель,назначен,,бессрочно,
Голуб Татьяна Николаевна,суд г.Борисова,судья,назначен,,бессрочно,
Добродей Анатолий Иванович,суд Слуцкого района и г.Слуцка,судья,назначен,,бессрочно,
Ивашкевич Олег Евгеньевич,суд Вилейского района и г.Вилейки,судья,назначен,,бессрочно,









