ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Зелёнко Алла Николаевна,01-005-03-01,судья,назначен,,бессрочно,
Илюшина Светлана Александровна,01-002-03-01,судья,назначен,,бессрочно,
Соловей Иосиф Иосифович,суд г.Барановичи,судья,назначен,,бессрочно,
Труханович Леонид Дмитриевич,01-005-03-01,председатель,назначен,,бессрочно,
Тиунова Инна Степановна,01-002-03-02,судья,назначен,,бессрочно,
Лупенкова Раиса Кондратьевна,02-002-03-01,председатель,назначен,,бессрочно,
Кравченко Елена Николаевна,03-001-03-01,судья,назначен,,бессрочно,
Гаврилов Александр Юрьевич,суд г.Лиды,судья,назначен,,бессрочно,
Демьян Антонина Владимировна,суд Новогрудского района и г.Новогрудка,судья,назначен,,бессрочно,
Климова Татьяна Викторовна,04-002-03-01,судья,назначен,,бессрочно,
Климова Татьяна Викторовна,02-023-03-01,председатель,освобожден,,,
Балабкин Александр Васильевич,суд Бобруйского района,судья,назначен,,бессрочно,
Ефремов Андрей Петрович,06-002-03-01,судья,назначен,,бессрочно,
Орленок Петр Маркович,суд г.Борисова,судья,назначен,,бессрочно,
Моханюк Владимир Александрович,05-005-03-01,судья,назначен,,бессрочно,
Анискевич Анатолий Михайлович,07-006-03-01,судья,назначен,,бессрочно,



