ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Назаренко Лариса Ивановна,01-002-03-01,судья,назначен,,бессрочно,
Литовчик Анатолий Амбросьевич,01-002-03-02,судья,назначен,,бессрочно,
Миронюк Татьяна Михайловна,01-002-03-02,судья,назначен,,бессрочно,
Сельманович Николай Иосифович,суд г.Барановичи,судья,назначен,,бессрочно,
Климович Игорь Сергеевич,суд г.Пинска,судья,назначен,,бессрочно,
Байдук Владимир Владимирович,01-005-03-01,судья,назначен,,бессрочно,
Будник Наталья Викторовна,01-006-03-01,судья,назначен,,бессрочно,
Калиновский Сергей Алексеевич,суд Кобринского района и г.Кобрина,судья,назначен,,бессрочно,
Бойко Светлана Геннадьевна,01-017-03-01,судья,назначен,,бессрочно,
Богданов Валерий Всеволодович,02-002-03-03,судья,назначен,,бессрочно,
Федюкевич Александр Иосифович,суд г.Полоцка,судья,назначен,,бессрочно,
Юргилевич Яков Марьянович,04-005-03-01,судья,назначен,,бессрочно,
Кулеш Виталий Эдвардович,04-006-03-01,судья,назначен,,бессрочно,
Бовсук Алла Ивановна,04-007-03-01,судья,назначен,,бессрочно,
Орлова Людмила Евгеньевна,06-002-03-02,судья,назначен,,бессрочно,
Стукин Владимир Александрович,06-002-03-01,судья,назначен,,бессрочно,
Стукин Владимир Александрович,06-002-03-02,судья,освобожден,,,
Камбалова Валентина Георгиевна,суд Леннского района г.Бобруйска,судья,назначен,,бессрочно,
Разумов Николай Михайлович,06-018-03-01,судья,назначен,,бессрочно,
Грасюков Александр Сергеевич,06-019-03-01,судья,назначен,,бессрочно,
Жупикова Наталья Григорьевна,05-002-03-01,судья,назначен,,бессрочно,
Жупикова Наталья Григорьевна,07-008-03-01,судья,освобожден,,,


