ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Дорошенко Ирина Леонидовна,хозяйственный суд Гомельской области,судья,назначен,,бессрочно,
Казаков Олег Валерьевич,хозяйственный суд Брестской области,судья,назначен,,бессрочно,
Ломаник Дмитрий Михайлович,хозяйственный суд Гродненской области,судья,назначен,,бессрочно,
Новиков Владимир Михайлович,хозяйственный суд Могилевской области,судья,назначен,,бессрочно,
Смородова Тамара Сергеевна,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Турмович Степан Петрович,хозяйственный суд Минской области,судья,назначен,,бессрочно,










