ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Сучок Тамара Ивановна,01-000-03-01,заместитель председателя,назначен,,бессрочно,
Гринарович Николай Федорович,01-000-03-01,член суда,назначен,,бессрочно,
Синегуб Александр Сидорович,01-000-03-01,член суда,назначен,,бессрочно,
Дубай Светлана Ивановна,01-010-03-01,судья,назначен,,бессрочно,
Феоктистова Татьяна Николаевна,01-002-03-02,судья,назначен,,бессрочно,
Токварова Ирина Александровна,03-000-03-01,член суда,назначен,,бессрочно,
Ткачук Елена Владимировна,03-000-03-01,член суда,назначен,,бессрочно,
Гринько Людмила Николаевна,03-001-03-01,судья,назначен,,бессрочно,
Рубисов Николай Данилович,суд Рогачевского района и г.Рогачева,судья,назначен,,бессрочно,
Корзун Александр Анатольевич,04-000-03-01,член суда,назначен,,бессрочно,
Белоцкий Витольд Станиславович,04-002-03-02,судья,назначен,,бессрочно,
Лецко Виталий Ксенафондович,04-002-03-02,судья,назначен,,бессрочно,
Плешевеня Наталья Борисовна,05-004-03-01,судья,назначен,,бессрочно,
Дехнич Алла Михайловна,суд Минского района и г.Заславля,судья,назначен,,бессрочно,
Лукша Галина Георгиевна,06-016-03-01,судья,назначен,,бессрочно,
Кравченко Александр Александрович,06-021-03-01,судья,назначен,,бессрочно,




