ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Колесникова Людмила Анатольевна,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,
Николаева Елена Александровна,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,
Рябцев Виктор Николаевич,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,
Караткевич Екатерина Александровна,Высший Хозяйственный Суд,судья,исключить,состав президиума,,
Курило Виктор Александрович,Высший Хозяйственный Суд,судья,исключить,состав президиума,,
Мадудин Николай Дмитриевич,Высший Хозяйственный Суд,судья,исключить,состав президиума,,
