ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Курисюк Андрей Леонидович,01-017-03-01,судья,назначен,,бессрочно,
Курисюк Андрей Леонидович,01-011-03-01,судья по административным делам,освобожден,,,
Лобачевская Раиса Ивановна,01-002-03-02,судья,назначен,,бессрочно,
Лобачевская Раиса Ивановна,01-015-03-01,судья,освобожден,,,
Петрукович Виктория Алексеевна,хозяйственный суд Брестской области,судья,назначен,,бессрочно,
Заруба Татьяна Николаевна,02-021-03-01,судья,назначен,,бессрочно,
Зубрицкая Галина Антоновна,02-002-03-02,судья,назначен,,бессрочно,
Пырх Светлана Ивановна,03-018-03-01,судья,назначен,,бессрочно,
Халявская Тамара Викторовна,03-009-03-01,судья,назначен,,бессрочно,
Шершнева Инна Яковлевна,03-009-03-01,судья,назначен,,бессрочно,
Адамович Светлана Иосифовна,суд Минского района и г.Заславля,судья,назначен,,бессрочно,
Пастухова Светлана Михайловна,05-018-03-01,судья,назначен,,бессрочно,
Пастухова Светлана Михайловна,суд Слуцкого района и г.Слуцка,судья,освобожден,,,
Троцюк Татьяна Ивановна,05-003-03-01,заместитель председателя,освобожден,,,
Холодок Наталья Аркадьевна,05-018-03-01,судья,назначен,,бессрочно,
Холодок Наталья Аркадьевна,суд Слуцкого района и г.Слуцка,судья,освобожден,,,
Яковлева Людмила Михайловна,05-019-03-01,судья,назначен,,бессрочно,
