ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Богданов Валерий Всеволодович,02-002-03-02,судья,назначен,,бессрочно,
Богданов Валерий Всеволодович,02-002-03-03,судья,освобожден,,,
Козлов Эдуард Геннадьевич,02-002-03-02,судья,назначен,,бессрочно,
Кригин Александр Анисимович,02-010-03-01,судья,назначен,,бессрочно,
Познякова Людмила Александровна,суд г.Новополоцка,судья,назначен,,бессрочно,
Познякова Людмила Александровна,02-007-03-01,судья,освобожден,,,
Попкова Елена Михайловна,02-002-03-02,судья,назначен,,бессрочно,
Стрижнев Александр Владимирович,02-018-03-01,судья,назначен,,бессрочно,
Стрижнев Александр Владимирович,02-018-03-01,судья по административным делам,освобожден,,,
Тароткин Дмитрий Романович,02-002-03-02,судья,назначен,,бессрочно,
Белорусов Владимир Николаевич,суд г.Мозыря,судья по административным делам,назначен,,бессрочно,
Ком Валентина Александровна,03-003-03-01,судья,назначен,,бессрочно,
Шупиков Андрей Валентинович,суд Слуцкого района и г.Слуцка,судья,назначен,,бессрочно,
Абдулин Александр Рустемович,07-007-03-01,судья,назначен,,бессрочно,
Терешко Анжелика Иосифовна,07-001-03-01,судья,назначен,,бессрочно,



















