ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Волчек Сергей Николаевич,01-006-03-01,судья по административным делам,назначен,,бессрочно,
Смирнова Ольга Кононовна,01-014-03-01,судья по административным делам,назначен,,бессрочно,
Стасевич Николай Владимирович,01-009-03-01,судья по административным делам,назначен,,бессрочно,
Белоусов Василий Леонидович,03-000-03-01,судья,назначен,,бессрочно,
Белоусов Василий Леонидович,03-002-03-01,председатель,освобожден,,,
Гринько Людмила Николаевна,03-000-03-01,судья,назначен,,бессрочно,
Гринько Людмила Николаевна,03-001-03-01,судья,освобожден,,,
Дмитренко Григорий Иванович,03-002-03-04,председатель,назначен,,бессрочно,
Дмитренко Григорий Иванович,суд Жлобинского района и г.Жлобина,судья,освобожден,,,
Лаворенко Владимир Алексеевич,03-015-03-01,председатель,назначен,,бессрочно,
Сужаев Александр Владимирович,03-006-03-01,судья по административным делам,назначен,,бессрочно,
Рыбаков Алексаендр Валерьевич,05-012-03-01,судья,назначен,,бессрочно,
Станкевич Иосиф Чеславович,05-000-03-01,судья,назначен,,бессрочно,
Станкевич Иосиф Чеславович,суд г.Молодечно,заместитель председателя,освобожден,,,
Старовойтова Татьяна Петровна,06-015-03-01,судья по административным делам,назначен,,бессрочно,































