ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Антончик наталья Николаевна,01-021-03-01,судья по административным делам,назначен,,бессрочно,
Курисюк Андрей Леонидович,01-011-03-01,судья по административным делам,назначен,,бессрочно,
Мохор Михаил Николаевич,01-002-03-02,судья,назначен,,бессрочно,
Самцевич Наталья Констнтиновна,суд Барановичского района,судья по административным делам,назначен,,бессрочно,
Сенько Николай Алексеевич,01-001-03-01,судья по административным делам,назначен,,бессрочно,
Станкевич Павел Иванович,суд Пинского района,судья по административным делам,назначен,,бессрочно,
Сурма Наталья Михайловна,01-008-03-01,судья по административным делам,назначен,,бессрочно,

































