ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Крыпа Ирина Семеновна,01-001-03-01,судья,освобожден,по собственному желанию,,
Мельгуй Лариса Аркадьевна,07-007-03-01,судья,освобожден,по собственному желанию,,
Николаева Лия Петровна,02-015-03-01,судья,освобожден,по собственному желанию,,
Подолянчик Александр Иосифович,04-002-03-02,судья,освобожден,выход в отставку,,
Сидорчик Игорь Ростиславович,04-001-03-01,судья,освобожден,по собственному желанию,,
Фомицкая Виктория Павловна,06-002-03-02,судья,освобожден,по собственному желанию,,
Шарец Елена Алексеевна,02-002-03-03,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Жук Елены Семеновны,,










