ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Аврусевич Василий Степанович,01-010-03-01,судья,назначен,,бессрочно,
Аврусевич Василий Степанович,01-010-03-01,судья по административным делам,освобожден,,,
Сенько Николай Алексеевич,01-001-03-01,судья,назначен,,бессрочно,
Сенько Николай Алексеевич,01-001-03-01,судья по административным делам,освобожден,,,
Стасевич Николай Владимирович,01-015-03-01,судья,назначен,,бессрочно,
Стасевич Николай Владимирович,01-009-03-01,судья по административным делам,освобожден,,,
Демещенко Елена Александровна,02-014-03-01,судья,назначен,,бессрочно,
Демещенко Елена Александровна,02-014-03-01,судья по административным делам,освобожден,,,
Елисеенко Вячеслав Владимирович,02-009-03-01,судья,назначен,,бессрочно,
Мишуто Татьяна Ивановна,02-013-03-01,судья,назначен,,бессрочно,
Мишуто Татьяна Ивановна,02-013-03-01,судья по административным делам,освобожден,,,
Андрейчик Жанна Петровна,03-002-03-04,судья,назначен,,бессрочно,
Андрейчик Жанна Петровна,03-002-03-04,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Домненко Марины Ивановны,,
Ермольчик Елена Евгеньевна,03-009-03-01,судья,назначен,,бессрочно,
Ермольчик Елена Евгеньевна,03-009-03-01,судья по административным делам,освобожден,,,
Казакевич Наталия Чеславовна,04-002-03-02,судья,назначен,,бессрочно,
Казакевич Наталия Чеславовна,04-002-03-02,судья по административным делам,освобожден,,,
Ковалева Ольга Чеславовна,04-010-03-01,судья,назначен,,бессрочно,
Болотов Алексей Викторович,суд Борисовского района и г.Борисова,судья,назначен,,бессрочно,
Болотов Алексей Викторович,суд Борисовского района и г.Борисова,судья по административным делам,освобожден,,,
Молостова Наталья Станиславовна,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Лукашевич Валентина Васильевна,06-002-03-02,судья,назначен,,бессрочно,
Лукашевич Валентина Васильевна,06-001-03-01,судья по административным делам,освобожден,занимал должность в связи с нахождением в социальном отпуске Гулешовой Елены Ивановны,,
Огладкова Наталья Владимировна,суд Ленинского района г.Бобруйска,судья,назначен,,бессрочно,
Огладкова Наталья Владимировна,суд Ленинского района г.Бобруйска,судья по административным делам,освобожден,,,
Авдеенко Владимир Александрович,07-003-03-01,судья,назначен,,бессрочно,
Авдеенко Владимир Александрович,07-003-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Шилько Елены Николаевны,,
Деминская Алла Игоревна,07-005-03-01,судья,назначен,,бессрочно,
Деминская Алла Игоревна,07-005-03-01,судья по административным делам,освобожден,,,
Козодаев Руслан Валерьевич,07-007-03-01,судья,назначен,,бессрочно,
Козодаев Руслан Валерьевич,07-007-03-01,судья по административным делам,освобожден,,,
Лукомская Юлия Юрьевна,07-008-03-01,судья,назначен,,бессрочно,
Лукомская Юлия Юрьевна,07-008-03-01,судья по административным делам,освобожден,,,
Реляво Оксана Анатольевна,07-007-03-01,судья,назначен,,бессрочно,
Реляво Оксана Анатольевна,07-007-03-01,судья по административным делам,освобожден,,,
Савостьян Людмила Аркадьевна,07-007-03-01,судья,назначен,,бессрочно,
Савостьян Людмила Аркадьевна,07-007-03-01,судья по административным делам,освобожден,,,
Шумская Юлия Петровна,07-002-03-01,судья,назначен,,бессрочно,

































