ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Абрамова Наталья Алексеевна,02-015-03-01,судья,освобожден,выход в отставку,,
Бричковская Татьяна Николаевна,05-008-03-01,судья,освобожден,по собственному желанию,,
Воробей Василий Дмитриевич,01-010-03-01,судья,освобожден,по собственному желанию,,
Воробей Василий Дмитриевич,01-010-03-01,судья,оставлен в должности,,,
Вяжевич Анатолий Викторович,05-017-03-01,судья,освобожден,по собственному желанию,,
Гайдар Валентнина Григорьевна,03-003-03-01,судья и председатель,освобожден,выход в отставку,,
Глюза Анатолий Валентинович,03-008-03-01,председатель,освобожден,по собственному желанию,,
Глюза Анатолий Валентинович,03-008-03-01,судья,оставлен в должности,,,
Демух Татьяна Ивановна,02-014-03-01,судья,освобожден,выход в отставку,,
Козилова Елена Николаевна,02-002-03-02,судья,освобожден,в связи с грубым нарушением должностных обязанностей,,
Лецко Виталий Ксенофонтович,04-002-03-01,председатель,освобожден,по собственному желанию,,
Лецко Виталий Ксенофонтович,04-002-03-01,судья,оставлен в должности,,,
Мысливец Степан Степанович,03-000-03-01,судья,освобожден,выход в отставку,,
Савич Анатолий Григорьевич,07-003-03-01,судья и председатель,освобожден,выход в отставку,,
Шелег Николай Александрович,04-017-03-01,судья,освобожден,выход в отставку,,
Янчук Юрий Павлович,01-010-03-01,судья,освобожден,по собственному желанию,,

































