ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Грушко Андрей Вацлавович,Витебский межгарнизонный военный суд,судья,назначен,,лет,5
Гуров Сергей Викторович,07-000-00-02,судья,назначен,,бессрочно,
Гуров Сергей Викторович,05-000-03-01,судья,освобожден,,,
Кругова Вера Борисовна,07-000-00-02,судья,назначен,,бессрочно,
Кругова Вера Борисовна,07-004-03-01,судья и заместитель председателя,освобожден,,,
Рыбаков Алексей Васильевич,07-000-00-02,судья,назначен,,бессрочно,
Рыбаков Алексей Васильевич,05-002-03-01,судья,освобожден,,,
Терех Анатолий Григорьевич,07-000-00-02,судья,назначен,,бессрочно,
Терех Анатолий Григорьевич,02-000-03-01,судья,освобожден,,,
Дегиль Софья Васильевна,01-012-03-01,председатель,назначен,,бессрочно,
Никитин Константин Вадимович,хозяйственный суд Брестской области,судья,назначен,,лет,5
Реутская Елена Михайловна,01-002-03-02,судья,назначен,,лет,5
Дашкевич Татьяна Антоновна,02-000-03-01,судья,назначен,,бессрочно,
Дашкевич Татьяна Антоновна,02-016-03-01,судья,освобожден,,,
Дегтерева Валентина Николаевна,02-010-03-01,председатель,назначен,,бессрочно,
Кириллова Ирина Николаевна,02-010-03-01,судья,назначен,,лет,5
Дембовская Людмила Зиновьевна,03-021-03-01,председатель,назначен,,бессрочно,
Литвинюк Лариса Леонидовна,03-018-03-01,судья,назначен,,лет,5
Можейко Светлана Юрьевна,03-005-03-01,судья и председатель,назначен,,бессрочно,
Можейко Светлана Юрьевна,03-003-03-01,судья,освобожден,,,
Сапронова Мария Ивановна,03-006-03-01,председатель,назначен,,бессрочно,
Колесник Александр Алексеевич,04-000-03-01,заместитель председателя,назначен,,бессрочно,
Медведь Михаил Михайлович,04-016-03-01,председатель,назначен,,бессрочно,
Чилеко Анна Вацлавовна,04-002-03-01,заместитель председателя,назначен,,бессрочно,
Майорова Елена Михайловна,хозяйственный суд Минской области,судья,назначен,на время нахождения в социальном отпуске Полудо Людмилы Ивановны,на период,
Майорова Елена Михайловна,хозяйственный суд Гомельской области,судья,освобожден,,,
Мисник Елена Михайловна,05-019-03-01,судья,назначен,,лет,5
Голочевский Олег Иванович,06-010-03-01,судья и председатель,назначен,,бессрочно,
Голочевский Олег Иванович,06-012-03-01,судья,освобожден,,,
Курилин Александр Михайлович,06-014-03-01,судья,назначен,на время нахождения в социальном отпуске Ратниковой Оксаны Евгеньевны,на период,
Курилин Александр Михайлович,06-021-03-01,судья по административным делам,освобожден,,,
Тарабуева Татьяна Валерьевна,06-003-03-01,судья,назначен,,лет,5
Тарабуева Татьяна Валерьевна,суд Первомайского района г.Бобруйска,судья по административным делам,освобожден,,,
Бушева Алена Войтеховна,07-008-03-01,судья,назначен,,лет,5
Скугарева Наталья Владимировна,07-007-03-01,судья,назначен,,лет,5
Тарчилина Лариса Владимировна,07-007-03-01,заместитель председателя,назначен,,бессрочно,
Антонович Елена Валерьевна,04-015-03-01,судья,освобожден,по собственному желанию,,
Бойса Иосиф Брониславович,04-010-03-01,председатель,освобожден,истечение срока полномочий,,
Бойса Иосиф Брониславович,04-010-03-01,судья,освобожден,,,
Дягилев Станислав Анатольевич,02-015-03-01,судья и председатель,освобожден,выход в отставку,,
Карпинчик Александр Антонович,07-006-03-01,судья,освобожден,выход в отставку,,
Кибисова Ольга Николаевна,хозяйственный суд Витебской области,судья,освобожден,по собственному желанию,,
Козлов Эдуард Генадьевич,02-002-03-02,судья,освобожден,по собственному желанию,,
Лавров Владимир Борисович,05-000-03-01,судья,освобожден,выход в отставку,,
Лагода Елена Александровна,01-017-03-01,судья,освобожден,выход в отставку,,
Лакетко Тамара Павловна,02-008-03-01,судья,освобожден,по собственному желанию,,
Линник Сергей Геннадьевич,суд Мозырьского района и г.Мозыря,судья,освобожден,истечение срока полномочий,,
Лобынич Инга Брониславовна,07-009-03-01,судья,освобожден,по собственному желанию,,
Лях Клара Петровна,06-006-03-01,судья и председатель,освобожден,выход в отставку,,
Патронова Лидия Александровна,05-002-03-01,судья,освобожден,выход в отставку,,
Познякова Людмила Александровна,02-003-03-01,судья,освобожден,выход в отставку,,
Репиха Николай Викторович,01-017-03-01,председатель,освобожден,истечение срока полномочий,,
Репиха Николай Викторович,01-017-03-01,судья,оставлен в должности,,,
Шелег Николай Александрович,04-017-03-01,председатель,освобожден,истечение срока полномочий,,
Шелег Николай Александрович,04-017-03-01,судья,оставлен в должности,,,
Сазон Алла Викторовна,02-000-03-01,судья,включить,состав президиума,бессрочно,
Добродей Анатолий Иванович,05-000-03-01,судья,включить,состав президиума,бессрочно,
Терех Анатолий Григорьевич,02-000-03-01,судья,исключить,состав президиума,,
Гуров Сергей Викторович,05-000-03-01,судья,исключить,состав президиума,,
Кичка Николай Карпович,04-000-03-01,судья,исключить,состав президиума,,







































