ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Александров Дмитрий Петрович,Высший Хозяйственный Суд,судья,назначен,,лет,5
Александров Дмитрий Петрович,хозяйственный суд Минской области,судья и заместитель председателя,освобожден,,,
Андрейчук Николай Константинович,01-011-03-01,председатель,назначен,,бессрочно,
Бельский Василий Владимирович,01-021-03-01,председатель,назначен,,бессрочно,
Валдайцев Денис Станиславович,хозяйственный суд Брестской области,судья,назначен,,лет,5
Демьянюк Елена Александровна,хозяйственный суд Брестской области,судья,назначен,,лет,5
Мешкевич Иван Иванович,01-006-03-01,председатель,назначен,,бессрочно,
Мохор Михаил Николаевич,01-000-03-01,судья,назначен,,бессрочно,
Мохор Михаил Николаевич,01-002-03-02,судья,освобожден,,,
Новик Виктор Викторович,01-008-03-01,председатель,назначен,,бессрочно,
Омельянюк Александр Павлович,01-015-03-01,председатель,назначен,,бессрочно,
Слюсарь Светлана Борисовна,01-000-03-01,судья,назначен,,бессрочно,
Слюсарь Светлана Борисовна,01-002-03-02,судья,освобожден,,,
Смирнова Ольга Кононовна,01-002-03-02,судья,назначен,,лет,5
Смирнова Ольга Кононовна,01-002-03-02,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Ласкович Татьяны Георгиевны,,
Татаревич Иван Станиславович,01-015-03-01,заместитель председателя,назначен,,бессрочно,
Горохова Марина Чеславовна,02-001-03-01,судья и председатель,назначен,,бессрочно,
Горохова Марина Чеславовна,02-017-03-01,судья и председатель,освобожден,,,
Фенченко Жанна Анатольевна,02-017-03-01,председатель,назначен,,бессрочно,
Алисейко Ирина Александровна,03-020-03-01,судья,назначен,,лет,5
Алисейко Ирина Александровна,03-020-03-01,судья по административным делам,освобожден,,,
Барановский Александр Иванович,03-010-03-01,председатель,назначен,,бессрочно,
Бурба Сергей Григорьевич,03-002-03-03,судья,назначен,,бессрочно,
Бурба Сергей Григорьевич,03-018-03-01,судья,освобожден,,,
Егорова Снежана Алексеевна,03-001-03-01,судья,назначен,,лет,5
Одрибец Татьяна Ильинична,03-002-03-01,председатель,назначен,,бессрочно,
Сычева Ольга Владимировна,03-006-03-01,судья,назначен,,лет,5
Козел Наталия Григорьевна,04-002-03-01,судья,назначен,,лет,5
Козел Наталия Григорьевна,04-002-03-01,судья по административным делам,освобожден,,,
Малявко Майя Евгеньевна,04-001-03-01,судья,назначен,,лет,5
Малявко Майя Евгеньевна,04-001-03-01,судья по административным делам,освобожден,,,
Мохань Валентина Антоновна,04-002-03-02,судья,назначен,,бессрочно,
Мохань Валентина Антоновна,04-002-03-02,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Шишко Наталии Чеславовны,,
Розмысло Василий Анатольевич,04-018-03-01,председатель,назначен,,бессрочно,
Бардович Игорь Михайлович,05-020-03-01,судья и председатель,назначен,,бессрочно,
Бардович Игорь Михайлович,05-005-03-01,судья,освобожден,,,
Буякевич Ирина Васильевна,05-001-03-01,заместитель председателя,назначен,,бессрочно,
Дударчик Елена Владимировна,05-014-03-01,заместитель председателя,назначен,,бессрочно,
Клещенок Геннадий Федорович,05-000-03-01,судья и заместитель председателя,назначен,,бессрочно,
Клещенок Геннадий Федорович,07-000-00-02,судья,освобожден,,,
Литвинович Сергей Георгиевич,05-014-03-01,председатель,назначен,,бессрочно,
Тулейко Вячеслав Иванович,05-001-03-01,судья,назначен,,лет,5
Тыневицкая Ирина Ивановна,05-000-03-01,заместитель председателя,назначен,,бессрочно,
Янович Зинаида Николаевна,хозяйственный суд Минской области,судья,назначен,на время нахождения в социальном отпуске Охрименко Оксаны Владимировны,на период,
Клековкина Ольга Львовна,06-001-03-01,председатель,назначен,,бессрочно,
Кононова Жанна Львовна,хозяйственный суд Могилевской области,судья,назначен,,лет,5
Морозов Сергей Витальевич,06-016-03-01,судья,назначен,,лет,5
Морозов Сергей Витальевич,06-016-03-01,судья по административным делам,освобожден,,,
Плиско Алла Ивановна,хозяйственный суд Могилевской области,судья,назначен,,лет,5
Ситник Станислав Степанович,06-017-03-01,председатель,назначен,,бессрочно,
Смолко Татьяна Михайловна,06-013-03-01,председатель,назначен,,бессрочно,
Ткачев Алексей Иванович,06-000-03-01,председатель,назначен,,бессрочно,
Цикунова Елена Евгеньевна,06-021-03-01,председатель,назначен,,бессрочно,
Черепухо Наталья Ивановна,06-003-03-01,судья,назначен,,лет,5
Черепухо Наталья Ивановна,суд Ленинского района г.Бобруйска,судья по административным делам,освобожден,,,
Чмара Надежда Филипповна,06-009-03-01,председатель,назначен,,бессрочно,
Анискевич Руслан Генадьевич,05-002-03-01,судья,назначен,,бессрочно,
Анискевич Руслан Генадьевич,07-007-03-01,судья,освобожден,,,
Зайцева Виктория Геннадьевна,05-002-03-01,судья,назначен,,бессрочно,
Зайцева Виктория Геннадьевна,07-006-03-01,судья и заместитель председателя,освобожден,,,
Комар Ольга Константиновна,07-008-03-01,судья,назначен,,лет,5
Корзубова Елена Григорьевна,07-008-03-01,судья,назначен,на время нахождения в социальном отпуске Жуковской мЖанны Алексеевны,на период,
Кривая Валентина Дмитриевна,05-002-03-01,судья,назначен,,бессрочно,
Кривая Валентина Дмитриевна,07-002-03-01,судья,освобожден,,,
Леонович Елена Валерьевна,05-002-03-01,судья,назначен,на время нахождения в социальном отпуске Андреевой Натальи Владимировны,на период,
Леонович Елена Валерьевна,07-008-03-01,судья,освобожден,,,
Павлючук Татьяна Евгеньевна,07-009-03-01,судья,назначен,,лет,5
Павлючук Татьяна Евгеньевна,07-009-03-01,судья по административным делам,освобожден,,,
