ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Царенко Евгений Михайлович,07-000-00-02,член президиума,включить,состав президиума,бессрочно,
Попович Георгий Павлович,07-000-00-02,член президиума,включить,состав президиума,бессрочно,










