ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Фоменко Анатолий Григорьевич,Витебский межгарнизонный военный суд,судья и председатель,назначен,,бессрочно,
Фоменко Анатолий Григорьевич,Минский межгарнизонный военный суд,судья,освобожден,,,
Сиз Николай Иванович,01-000-03-01,заместитель председателя,назначен,,бессрочно,
Баркова Марина Владимировна,02-002-03-02,судья,назначен,,лет,5
Гончарова Анна Александровна,02-008-03-01,судья,назначен,,лет,5
Жукова Наталья Федоровна,02-016-03-01,судья,назначен,,лет,5
Журавкова Татьяна Николаевна,02-002-03-02,судья,назначен,,лет,5
Котова Алеся Анатольевна,02-014-03-01,судья,назначен,,лет,5
Кутузов Андрей Викторович,02-017-03-01,судья,назначен,,лет,5
Острикова Марина Викторовна,02-000-03-01,судья,назначен,,бессрочно,
Острикова Марина Викторовна,02-002-03-03,судья и заместитель председателя,освобожден,,,
Тягунович Елена Ивановна,хозяйственный суд Витебской области,судья,назначен,,лет,5
Демьянчик Светлана Михайловна,хозяйственный суд Гомельской области,судья,назначен,,лет,5
Кедаль Дмитрий Иванович,04-002-03-01,судья,назначен,на время нахождения в социальном отпуске Соболевой Натальи Васильевны,на период,
Кулаковский Валерий Леонтьевич,04-002-03-02,председатель,назначен,,бессрочно,
Лецко Виталий Ксенофонтович,04-002-03-01,председатель,назначен,,бессрочно,
Гуринович Лилия Георгиевна,05-000-03-01,судья,назначен,,бессрочно,
Гуринович Лилия Георгиевна,06-000-03-01,судья,освобожден,,,
Добранов Александр Владимирович,05-000-03-01,судья,назначен,,бессрочно,
Добранов Александр Владимирович,05-010-03-01,судья и председатель,освобожден,,,
Тарасик Наталья Владимировна,05-024-03-01,председатель,назначен,,бессрочно,
Березюк Юлия Анатольевна,06-003-03-01,судья,назначен,,лет,5
Волков Виталий Николаевич,06-022-03-01,судья,назначен,,лет,5
Картавенко Елена Валерьевна,06-002-03-02,судья,назначен,,лет,5
Трифонова Ирина Константиновна,06-002-03-02,судья,назначен,,лет,5
Тропынина Юлия Станиславовна,06-002-03-01,судья,назначен,,лет,5
Савич Анатолий Григорьевич,07-003-03-01,председатель,назначен,,бессрочно,
Белодедов Александр Михайлович,суд Мозырьского района и г.Мозыря,судья,освобожден,истечение срока полномочий,,
Бойса Иосиф Брониславович,04-010-03-01,судья,освобожден,выход в отставку,,
Острейко Тамара Ивановна,01-002-03-01,судья и председатель,освобожден,выход в отставку,,
Поболь Владимир Зенонович,04-008-03-01,судья и председатель,освобожден,грубое нарушение должностных обязанностей,,
Прокопенко Валентина Александровна,суд Мозырьского района и г.Мозыря,судья,освобожден,по собственному желанию,,
Синегуб Александр Сидорович,01-000-03-01,судья,освобожден,по собственному желанию,,
Шевчик Валентин Николаевич,04-010-03-01,судья,освобожден,грубое нарушение должностных обязанностей,,
Пигарева Татьяна Владимировна,04-000-03-01,судья,включить,состав президиума,бессрочно,







































