ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Бойко Владимир Васильевич,Высший Хозяйственный Суд,председатель,включить,состав президиума,бессрочно,
Каменков Виктор Сергеевич,Высший Хозяйственный Суд,первый заместитель председателя,включить,состав президиума,бессрочно,
Жданович Игорь Николаевич,Высший Хозяйственный Суд,заместитель председателя,включить,состав президиума,бессрочно,
Киселев Александр Иванович,Высший Хозяйственный Суд,заместитель председателя,включить,состав президиума,бессрочно,
Егоров Алексей Петрович,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,
Караткевич Екатерина Александровна,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,
Китаева Тамара Болеславовна,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,
Козырева Лилия Григорьевна,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,
Пазычук Николай Андреевич,Высший Хозяйственный Суд,судья,включить,состав президиума,бессрочно,





