ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Гашпар Татьяна Валентиновна,хозяйственный суд Могилевской области,судья,назначен,,бессрочно,
Колодко Сергей Борисович,хозяйственный суд Гомельской области,судья,назначен,,бессрочно,
Молостова Наталья Станиславовна,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Полудо Людмила Ивановна,хозяйственный суд Могилевской области,судья,назначен,,бессрочно,
Трибуцкий Николай Константинович,хозяйственный суд Гомельской области,судья,назначен,,бессрочно,

















