ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Александров Дмитрий Петрович,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Александров Дмитрий Петрович,хозяйственный суд Минской области,судья,освобожден,,,
Курило Виктор Александрович,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Курило Виктор Александрович,хозяйственный суд Могилевской области,судья,освобожден,,,
Турмович Степан Петрович,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Турмович Степан Петрович,хозяйственный суд Минской области,судья,освобожден,,,
Шобик Валерий Васильевич,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Шобик Валерий Васильевич,хозяйственный суд Минской области,судья,освобожден,,,



