ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Корделюк Валентина Степановна,01-000-03-01,судья,назначен,,бессрочно,
Корделюк Валентина Степановна,01-002-03-01,судья,освобожден,,,
Ермолаев Александр Александрович,03-002-03-03,судья,назначен,,бессрочно,
Верещагина Галина Эдуардовна,05-000-03-01,судья,назначен,,бессрочно,
Верещагина Галина Эдуардовна,07-002-03-01,судья,освобожден,,,
Карпович Анатолий Иванович,05-000-03-01,судья,назначен,,бессрочно,
Карпович Анатолий Иванович,07-006-03-01,судья,освобожден,,,
Клещёнок Геннадий Федорович,05-000-03-01,судья,назначен,,бессрочно,
Клещёнок Геннадий Федорович,05-011-03-01,председатель,освобожден,,,
Жандаров Владимир Всеволодович,06-014-03-01,судья по административным делам,назначен,,бессрочно,
Высоцкая Тамара Александровна,05-002-03-01,судья,назначен,,бессрочно,
Высоцкая Тамара Александровна,07-003-03-01,судья,освобожден,,,
Дашук Геннадий Леонидович,07-007-03-01,заместитель председателя,назначен,,бессрочно,
Забара Андрей Александрович,05-002-03-01,судья,назначен,,бессрочно,
Забара Андрей Александрович,07-005-03-01,заместитель председателя,освобожден,,,
Мильто Игорь Геннадьевич,05-002-03-01,судья,назначен,,бессрочно,
Мильто Игорь Геннадьевич,07-007-03-01,судья,освобожден,,,
Хробастов Владимир Иванович,05-002-03-01,судья,назначен,,бессрочно,
Хробастов Владимир Иванович,07-001-03-01,заместитель председателя,освобожден,,,




















