ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Далинчук Алексаендр Сергеевич,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Далинчук Алексаендр Сергеевич,хозяйственный суд г.Минска,судья,освобожден,,,
Любовицкий Игорь Вячеславович,Борисовский межгарнизонный военный суд,судья,назначен,,лет,5
Паутов Александр Михайлович,Белорусский военный суд,заместитель председателя,назначен,,бессрочно,
Березюк Сергей Александрович,01-000-03-01,судья,назначен,,лет,5
Василюк Андрей Анатольевич,01-002-03-01,судья,назначен,,лет,5
Гловацкий Павел Васильевич,хозяйственный суд Брестской области,судья,назначен,на время нахождения в социальном отпуске Демьянюк Елены Александровны,на период,
Житко Игорь Анатольевич,01-017-03-01,судья,назначен,,лет,5
Миселюк Валентин Михайлович,хозяйственный суд Брестской области,судья,назначен,,лет,5
Гуреев Анатолий Валерьевич,хозяйственный суд Витебской области,судья,назначен,,лет,5
Закревский Антон Анатольевич,хозяйственный суд Витебской области,судья,назначен,,лет,5
Каретникова Антонина Ивановна,02-014-03-01,председатель,назначен,,бессрочно,
Конащенко Людмила Михайловна,02-014-03-01,судья,назначен,,лет,5
Лупенкова Раиса Кондратьевна,02-002-03-01,председатель,назначен,,бессрочно,
Стефанович Наталья Леонидовна,хозяйственный суд Витебской области,судья,назначен,,лет,5
Тюменцева Наталья Александровна,02-014-03-01,заместитель председателя,назначен,,бессрочно,
Камалыев Артем Сергеевич,03-018-03-01,судья и председатель,назначен,,бессрочно,
Камалыев Артем Сергеевич,03-001-03-01,судья и заместитель председателя,освобожден,,,
Козлова Ольга Викторовна,03-018-03-01,судья,назначен,на время нахождения в социальном отпуске Пырх Светланы Ивановны,на период,
Лисовский Александр Венедиктович,03-001-03-01,судья и заместитель председателя,назначен,,лет,5
Самофалов Владимир Николаевич,хозяйственный суд Гомельской области,судья,назначен,,бессрочно,
Самофалов Владимир Николаевич,03-002-03-01,судья,освобожден,,,
Трибуцкий Николай Константинович,хозяйственный суд Гомельской области,заместитель председателя,назначен,,бессрочно,
Кедаль Дмитрий Иванович,04-002-03-01,судья,назначен,на время нахождения в социальном отпуске Петрововй Елены Александровны,на период,
Кедаль Дмитрий Иванович,04-002-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Соболевой Натальи Васильевны,,
Мацук Вячеслав Анатольевич,04-010-03-01,заместитель председателя,назначен,,бессрочно,
Зенько Анатолий Васильевич,05-007-03-01,председатель,назначен,,бессрочно,
Кобец Юрий Викторович,05-000-03-01,судья,назначен,,бессрочно,
Кобец Юрий Викторович,05-005-03-01,судья и председатель,освобожден,,,
Лужинский Александр Иванович,05-005-03-01,судья и председатель,назначен,,бессрочно,
Лужинский Александр Иванович,05-014-03-01,судья и заместитель председателя,освобожден,,,
Шемпель Елена Ивановна,05-003-03-01,судья,назначен,,лет,5
Юревич Лариса Леоновна,05-014-03-01,заместитель председателя,назначен,,бессрочно,
Адамова Тамара Владимировна,хозяйственный суд Могилевской области,судья,назначен,,лет,5
Земцов Игорь Федорович,06-013-03-01,председатель,назначен,,бессрочно,
Барановский Андрей Федорович,07-005-03-01,судья,назначен,,лет,5
Барановский Андрей Федорович,07-005-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Пыкиной Натальи Михайловны,,
Бродко Оксана Викторовна,хозяйственный суд г.Минска,судья,назначен,,лет,5
Казак Виктор Владимирович,07-003-03-01,судья,назначен,,лет,5
Лешкевич Мария Николаевна,07-008-03-01,судья,назначен,,лет,5
Мурашко Екатерина Николаевна,07-001-03-01,судья,назначен,,лет,5
Мурашко Екатерина Николаевна,07-001-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Хвойницкой Жанны Анатольевны,,
Новицкая Надежда Федоровна,07-002-03-01,судья,назначен,,лет,5
Пыкина Наталья Михайловна,07-005-03-01,заместитель председателя,назначен,,бессрочно,
Томанов Алексей Анатольевич,хозяйственный суд г.Минска,судья,назначен,,бессрочно,
Томанов Алексей Анатольевич,07-007-03-01,судья,освобожден,,,
Черняк Елена Леонидовна,07-003-03-01,судья,назначен,,лет,5
