ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Царенко Александр Евгеньевич,Минский межгарнизонный военный суд,судья,назначен,,лет,5
Мозоль Вадим Иванович,01-005-03-01,председатель,назначен,,бессрочно,
Снежко Светлана Николаевна,01-003-03-01,судья,назначен,,лет,5
Воронович Тадеуш Валентинович,02-000-03-01,председатель,назначен,,бессрочно,
Гребенчук Елена Николаевна,02-002-03-01,судья,назначен,,лет,5
Дробышевский Вадим Александрович,02-013-03-01,судья,назначен,,лет,5
Колбун Виктор Константинович,02-002-03-03,судья,назначен,,лет,5
Мартиросян Эдгар Вячеславович,02-002-03-02,судья,назначен,,лет,5
Морозова Елена Кирилловна,02-015-03-01,судья,назначен,,лет,5
Янюк Виталий Федорович,02-003-03-01,судья,назначен,,лет,5
Аношко Александр Александрович,03-008-03-01,судья,назначен,,лет,5
Домасевич Марина Георгиевна,03-019-03-01,заместитель председателя,назначен,,бессрочно,
Музыченко Антонина Анатольевна,03-018-03-01,судья,назначен,на время нахождения в социальном отпуске Калиновской Елены Владимировны,на период,
Веленто Валерий Иванович,04-010-03-01,судья,назначен,,лет,5
Карих Наталья Валерьевна,04-001-03-01,судья,назначен,на время нахождения в социальном отпуске Малявко Майи Евгеньевны,на период,
Стасюкевич Ксения Степановна,04-002-03-01,судья,назначен,,лет,5
Герасимович Сергей Степанович,05-005-03-01,судья,назначен,,лет,5
Гончарова Ольга Викторовна,05-001-03-01,судья,назначен,,лет,5
Епихов Сергей Александрович,05-006-03-01,судья и председатель,назначен,,бессрочно,
Епихов Сергей Александрович,05-021-03-01,судья,освобожден,,,
Король Николай Вячеславович,05-004-03-01,председатель,назначен,,бессрочно,
Курганова Елена Игоревна,05-005-03-01,судья,назначен,,лет,5
Курганова Елена Игоревна,05-005-03-01,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Клещенок Оксаны Сергеевны,,
Малевич Игорь Яковлевич,05-015-03-01,председатель,назначен,,бессрочно,
Павленко Юлия Васильевна,05-018-03-01,судья,назначен,,лет,5
Паплевко Алла Ивановна,05-003-03-01,судья,назначен,,лет,5
Понасенко Наталья Валерьевна,06-002-03-01,судья,назначен,,лет,5
Ярмошевич Елена Сергеевна,06-003-03-01,судья,назначен,,лет,5
Далинчук Александр Сергеевич,хозяйственный суд г.Минска,судья,назначен,,лет,5
Лавкова Инна Евгеньевна,07-007-03-01,судья,назначен,,лет,5
Макаревич Светлана Юрьевна,07-004-03-01,судья,назначен,,лет,5
Телица Лидия Федоровна,07-003-03-01,судья и заместитель председателя,назначен,,бессрочно,
Телица Лидия Федоровна,07-006-03-01,судья,освобожден,,,
Шумская Татьяна Ивановна,07-008-03-01,судья,назначен,,лет,5
Дмитриев Владимир Васильевич,02-014-03-01,судья,освобожден,выход в отставку,,
Зубрицкая Галина Антоновна,02-002-03-02,судья,освобожден,по собственному желанию,,
Казаровец Александр Викторович,02-003-03-01,судья,освобожден,по собственному желанию,,
Королева Любовь Николаевна,хозяйственный суд Могилевской области,судья и заместитель председателя,освобожден,выход в отставку,,
Лапаник Татьяна Ивановна,05-020-03-01,судья,освобожден,истечение срока полномочий,,
Митькова Алина Ивановна,06-004-03-01,судья,освобожден,выход в отставку,,
Реутская Надежда Заловна,07-003-03-01,судья по административным делам,освобожден,по собственному желанию,,
Стефанович Инна Викторовна,05-003-03-01,судья,освобожден,по собственному желанию,,
Чвала Владимир Васильевич,07-007-03-01,судья и председатель,освобожден,выход в отставку,,
Янович Зинаида Николаевна,хозяйственный суд Минской области,судья,освобожден,занимал должность в связи с нахождением в социальном отпуске Охрименко Оксаны Владимировны,,


































































