ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Зельчан Виктор Владимирович,суд Калинковичского района и г.Калинковичи,судья,освобожден,по состоянию здоровья,,
Капитан Михаил Павлович,суд Калинковичского района и г.Калинковичи,судья,освобожден,по состоянию здоровья,,
Кирпиченок Михаил Николаевич,02-013-03-01,председатель,освобожден,невозможность дальнейшего нахождения на должности,,
Крыворуцкий Станислав Николаевич,суд Первомайского района г.Бобруйска,судья,освобожден,невозможность дальнейшего нахождения на должности,,
Жилина Лилия Семеновна,02-002-03-02,судья,освобожден,по собственному желанию,,
Клопов Михаил Петрович,суд Первомайского района г.Бобруйска,судья,освобожден,по собственному желанию,,
Кулевич Дмитрий Валерьевич,02-002-03-01,судья,освобожден,по собственному желанию,,
Мышковец Борис Степанович,суд Минского района и г.Заславля,председатель,освобожден,по собственному желанию,,
Мышковец Борис Степанович,суд Минского района и г.Заславля,судья,оставлен в должности,,,
Селетков Леонид Витальевич,суд г.Речицы,судья,освобожден,по собственному желанию в связи с выходом на пенсию,,
Чимирко Василий Федорович,суд Первомайского района г.Бобруйска,председатель,освобожден,по собственному желанию,,
Чимирко Василий Федорович,суд Первомайского района г.Бобруйска,судья,оставлен в должности,,,
Шландыков Виктор Павлович,03-002-03-03,судья,освобожден,по собственному желанию,,
Шушакова Ирина Алексеевна,07-003-03-01,судья,освобожден,по собственному желанию,,







