ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Толстик Александр Александрович,04-008-03-01,председатель,освобожден,по собственному желанию,,
Толстик Александр Александрович,04-008-03-01,судья,оставлен в должности,,,
Тетюхин Алексей Львович,05-022-03-01,председатель,освобожден,перевод другую работу,,
Морозов Иван Иванович,02-023-03-01,судья,назначен,,бессрочно,
Заяц Анатолий Александрович,04-000-03-01,судья,назначен,,бессрочно,
Заяц Анатолий Александрович,04-002-03-01,судья,освобожден,,,
Степаненко Тавифа Васильевна,суд г.Борисова,судья,назначен,,бессрочно,
Качанова Антонина Васильевна,суд Кричевского района и г.Кричева,судья,назначен,,бессрочно,
Малашёнок Ирина Михайловна,06-005-03-01,председатель,назначен,,бессрочно,
Малашёнок Ирина Михайловна,06-005-03-01,судья,освобожден,,,
Романова Лидия Петровна,06-020-03-01,председатель,назначен,,бессрочно,
Романова Лидия Петровна,06-020-03-01,судья,освобожден,,,
