ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Васильева Наталья Алексеевна,02-002-03-01,судья,освобожден,по собственному желанию,,
Дворяшина Людмила Николаевна,02-002-03-01,судья,освобожден,по собственному желанию,,
Дольный Юрий Борисович,Брестский межгарнизонный военный суд,судья,освобожден,по состоянию здоровья,,
Корнелюк Федор Иосифович,хозяйственный суд Гродненской области,судья,освобожден,по собственному желанию,,
Москаленко Ольга Сергеевна,суд Оршанского района,судья,освобожден,по собственному желанию,,
Рыжиков Игорь Владимирович,хозяйственный суд Витебской области,судья,освобожден,по собственному желанию,,
Смольянова Ольга Георгиевна,02-012-03-01,судья,освобожден,по собственному желанию,,
Чайчиц Виктор Иванович,суд Минского района и г.Заславля,судья,освобожден,по собственному желанию,,
Щелкунов Игорь Ренадьевич,хозяйственный суд Витебской области,судья,освобожден,по собственному желанию,,



