ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Белоусов Михаил Григорьевич,05-002-03-01,заместитель председателя,освобожден,по собственному желанию в связи с выходом на пенсию,,
Скок Василий Владимирович,суд Волковысского района и г.Волковысска,председатель,освобожден,избрание на другую должность,,
Трояновская Людмила Ивановна,07-001-03-01,судья,освобожден,по состоянию здоровья,,
Шапчиц Александр Иванович,05-002-03-01,судья,освобожден,перевод на другую работу,,
Абашин Александр Викторович,02-002-03-02,судья,назначен,,бессрочно,
Загвоздина Галина Владимировна,суд Калинковичского района и г.Калинковичи,судья,назначен,,бессрочно,
Мицуля Владимир Васильевич,суд Калинковичского района и г.Калинковичи,судья,назначен,,бессрочно,
Долженко Людмила Чеславовна,суд Минского района и г.Заславля,заместитель председателя,назначен,,бессрочно,
Долженко Людмила Чеславовна,суд Минского района и г.Заславля,судья,освобожден,,,
Пуцило Владимир Григорьевич,06-000-03-01,судья,назначен,,бессрочно,
Пуцило Владимир Григорьевич,06-002-03-01,судья,освобожден,,,



