ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Вербицкий Николай Петрович,суд г.Барановичи,заместитель председателя,назначен,,бессрочно,
Вербицкий Николай Петрович,суд г.Барановичи,судья,освобожден,,,
Кулак Сергей Мефодьевич,01-002-03-01,заместитель председателя,назначен,,бессрочно,
Кулак Сергей Мефодьевич,01-002-03-01,судья,освобожден,,,
Омельянюк Александр Павлович,суд г.Пинска,заместитель председателя,назначен,,бессрочно,
Омельянюк Александр Павлович,суд г.Пинска,судья,освобожден,,,
Шоломицкий Владимир Алексеевич,01-002-03-02,заместитель председателя,назначен,,бессрочно,
Шоломицкий Владимир Алексеевич,01-002-03-02,судья,освобожден,,,
Белойчук Наталья Николаевна,суд Светлогорского района и г.Светлогорска,заместитель председателя,назначен,,бессрочно,
Белойчук Наталья Николаевна,суд Светлогорского района и г.Светлогорска,судья,освобожден,,,
Белоусов Василий Леонидович,03-002-03-01,заместитель председателя,назначен,,бессрочно,
Белоусов Василий Леонидович,03-002-03-01,судья,освобожден,,,
Зенченко Михаил Семенович,суд г.Мозыря,заместитель председателя,назначен,,бессрочно,
Зенченко Михаил Семенович,суд г.Мозыря,судья,освобожден,,,
Костриков Александр Иванович,03-002-03-04,заместитель председателя,назначен,,бессрочно,
Костриков Александр Иванович,03-002-03-04,судья,освобожден,,,
Крупенкина Евдокия Алексеевна,03-002-03-03,заместитель председателя,назначен,,бессрочно,
Крупенкина Евдокия Алексеевна,03-002-03-03,судья,освобожден,,,
Папеко Лидия Борисовна,суд Жлобинского района и г.Жлобина,заместитель председателя,назначен,,бессрочно,
Папеко Лидия Борисовна,суд Жлобинского района и г.Жлобина,судья,освобожден,,,
Савостянова Людмила Анатольевна,суд Калинковичского района и г.Калинковичи,заместитель председателя,назначен,,бессрочно,
Савостянова Людмила Анатольевна,суд Калинковичского района и г.Калинковичи,судья,освобожден,,,
Готто Алла Леонидовна,суд г.Лиды,заместитель председателя,назначен,,бессрочно,
Готто Алла Леонидовна,суд г.Лиды,судья,освобожден,,,
Сушко Валерий Константинович,04-002-03-02,заместитель председателя,назначен,,бессрочно,
Сушко Валерий Константинович,04-002-03-02,судья,освобожден,,,
Бойко Нина Николаевна,суд Солигорского района и г.Солигорска,заместитель председателя,назначен,,бессрочно,
Бойко Нина Николаевна,суд Солигорского района и г.Солигорска,судья,освобожден,,,
Галезник Александр Михайлович,суд Слуцкого района и г.Слуцка,заместитель председателя,назначен,,бессрочно,
Галезник Александр Михайлович,суд Слуцкого района и г.Слуцка,судья,освобожден,,,
Кабецкий Валентин Владимирович,суд г.Борисова,заместитель председателя,назначен,,бессрочно,
Кабецкий Валентин Владимирович,суд г.Борисова,судья,освобожден,,,
Станкевич Иосиф Чеславович,суд г.Молодечно,заместитель председателя,назначен,,бессрочно,
Станкевич Иосиф Чеславович,суд г.Молодечно,судья,освобожден,,,
Шелепень Виктор Викторович,05-005-03-01,заместитель председателя,назначен,,бессрочно,
Шелепень Виктор Викторович,05-005-03-01,судья,освобожден,,,
Глуховская Галина Ивановна,07-009-03-01,заместитель председателя,назначен,,бессрочно,
Глуховская Галина Ивановна,07-009-03-01,судья,освобожден,,,
Забара Андрей Александрович,07-005-03-01,заместитель председателя,назначен,,бессрочно,
Забара Андрей Александрович,07-005-03-01,судья,освобожден,,,
Карпинчик Александр Антонович,07-006-03-01,заместитель председателя,назначен,,бессрочно,
Карпинчик Александр Антонович,07-006-03-01,судья,освобожден,,,
Курилович Николай Васильевич,07-002-03-01,заместитель председателя,назначен,,бессрочно,
Курилович Николай Васильевич,07-002-03-01,судья,освобожден,,,
Савич Анатолий Григорьевич,07-003-03-01,заместитель председателя,назначен,,бессрочно,
Савич Анатолий Григорьевич,07-003-03-01,судья,освобожден,,,
Ступень Ирина Владимировна,07-004-03-01,заместитель председателя,назначен,,бессрочно,
Ступень Ирина Владимировна,07-004-03-01,судья,освобожден,,,
Хробостов Владимир Иванович,07-001-03-01,заместитель председателя,назначен,,бессрочно,
Хробостов Владимир Иванович,07-001-03-01,судья,освобожден,,,
Хрущевская Лидия Порфирьевна,07-008-03-01,заместитель председателя,назначен,,бессрочно,
Хрущевская Лидия Порфирьевна,07-008-03-01,судья,освобожден,,,
Кужелева Галина Александровна,суд Центрального района г. Могилева,заместитель председателя,назначен,,бессрочно,
Кужелева Галина Александровна,суд Центрального района г. Могилева,судья,освобожден,,,
Маймусов Александр Сергеевич,06-002-03-01,заместитель председателя,назначен,,бессрочно,
Маймусов Александр Сергеевич,06-002-03-01,судья,освобожден,,,







