ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Сапотько Татьяна Геннадьевна,02-002-03-03,судья,освобожден,по собственному желанию,,
Титкова Ирина Николаевна,02-002-03-02,судья,освобожден,по собственному желанию,,
Давыдов Владимир Александрович,Минский межгарнизонный военный суд,заместитель председателя,назначен,,бессрочно,
Давыдов Владимир Александрович,Минский межгарнизонный военный суд,судья,освобожден,,,
Добранов Владимир Николаевич,хозяйственный суд Гродненской области,судья,назначен,,бессрочно,
Добродей Анатолий Иванович,суд Столбцовского района,председатель,назначен,,бессрочно,
Добродей Анатолий Иванович,суд Слуцкого района и г.Слуцка,судья,освобожден,,,
Захарийчук Виктор Яковлевич,Борисовский межгарнизонный военный суд,судья,назначен,,бессрочно,
Кореневский Андрей Павлович,Борисовский межгарнизонный военный суд,председатель,назначен,,бессрочно,
Кореневский Андрей Павлович,Борисовский межгарнизонный военный суд,судья,освобожден,,,
Лупинович Александр Станиславович,Витебский межгарнизонный военный суд,судья,назначен,,бессрочно,
Неверовский Александр Владимирович,Минский межгарнизонный военный суд,судья,назначен,,бессрочно,
Скориков Николай Иванович,Борисовский межгарнизонный военный суд,судья,назначен,,бессрочно,










