ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Александров Валерий Михайлович,хозяйственный суд Витебской области,председатель,освобожден,избрание на другую должность,,
Груздев Александр Петрович,02-002-03-01,судья,освобожден,выход в отставку,,
Горбацкий Александр Александрович,хозяйственный суд Брестской области,заместитель председателя,назначен,,бессрочно,
Горбацкий Александр Александрович,хозяйственный суд Брестской области,судья,освобожден,,,
Деркач Нина Евгеньевна,хозяйственный суд Брестской области,судья,назначен,,бессрочно,
Кибисова Ольга Николаевна,хозяйственный суд Витебской области,судья,назначен,,бессрочно,
Верига Ирина Васильевна,03-002-03-03,судья,назначен,,бессрочно,
Лапута Виктория Анатольевна,хозяйственный суд Гомельской области,судья,назначен,,бессрочно,
Поспелова Тамара Павловна,хозяйственный суд Гомельской области,судья,назначен,,бессрочно,
Костюкович Зоя Павловна,07-001-03-01,судья,назначен,,бессрочно,
Кривая Валентина Дмитриевна,07-002-03-01,судья,назначен,,бессрочно,
Лавникевич Лилия Анатольевна,07-005-03-01,судья,назначен,,бессрочно,
Угнивенко Инна Николаевна,07-008-03-01,судья,назначен,,бессрочно,



