ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Кудрявцева Надежда Петровна,02-002-03-01,судья,освобожден,по состоянию здоровья,,
Пархоменко Александр Сазонович,суд г.Полоцка,судья,освобожден,выход в отставку,,
Сарбаш Федор Антонович,02-000-03-01,судья,освобожден,выход в отставку,,
Столяр-Прокопчук Наталья Филимоновна,суд Калинковичского района и г.Калинковичи,судья,освобожден,по собственному желанию,,
Сутько Галина Константиновна,суд г.Мозыря,судья,освобожден,в связи с заключением квалификационной коллегии о невозможности дальнейшего нахождения на этой должности,,
