ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Горбачик Нина Николаевна,суд г.Барановичи,судья,назначен,,бессрочно,
Лещенко Андрей Леонидович,суд г.Пинска,судья по административным делам,назначен,,бессрочно,
Романюк Татьяна Георгиевна,01-002-03-02,судья по административным делам,назначен,,бессрочно,
Чиркун Константин Константинович,суд г.Барановичи,судья,назначен,,бессрочно,
Янчук Юрий Павлович,01-010-03-01,судья по административным делам,назначен,,бессрочно,
Андрушенко Андрей Анатольевич,суд г.Полоцка,судья,назначен,,бессрочно,
Близнева Людмила Васильевна,суд г.Полоцка,судья,назначен,,бессрочно,
Гуйвик Наталья Васильевна,суд г.Полоцка,судья,назначен,,бессрочно,
Зинькевич Фадей Анатольевич,02-011-03-01,судья по административным делам,назначен,,бессрочно,
Козлова Анжелика Альбертовна,суд г.Орши,судья по административным делам,назначен,,бессрочно,
Ларина Людмила Станиславовна,02-002-03-03,судья,назначен,,бессрочно,
Лешкович Александр Эдуардович,02-016-03-01,судья по административным делам,назначен,,бессрочно,
Мазикова Диана Павловна,02-002-03-03,судья по административным делам,назначен,,бессрочно,
Синицына Лариса Ивановна,02-002-03-02,заместитель председателя,назначен,,бессрочно,
Стрижнев Александр Владимирович,02-018-03-01,судья по административным делам,назначен,,бессрочно,
Сучок Александр Михайлович,02-005-03-01,судья по административным делам,назначен,,бессрочно,
Быков Александр Леонидович,суд г.Мозыря,судья по административным делам,назначен,,бессрочно,
Яковцев Яков Валерьевич,суд Рогачевского района и г.Рогачёва,судья по административным делам,назначен,,бессрочно,
Бранчель Иван Иванович,суд г.Лиды,судья по административным делам,назначен,,бессрочно,
Жук Люция Казимировна,04-002-03-02,судья по административным делам,назначен,,бессрочно,
Козел Александр Болеславович,04-009-03-01,судья,назначен,,бессрочно,
Козяк Евгений Винцетьевич,04-002-03-01,судья по административным делам,назначен,,бессрочно,
Ланцевич Светлана Николаевна,суд Волковысского района и г.Волковысска,судья по административным делам,назначен,,бессрочно,
Поболь Владимир Зенонович,04-008-03-01,председатель,назначен,,бессрочно,
Радюк Игорь Ростиславович,04-009-03-01,председатель,назначен,,бессрочно,
Ярошевич Сергей Гергиевич,04-002-03-01,судья по административным делам,назначен,,бессрочно,
Байтус Вера Ивановна,05-024-03-01,судья по административным делам,назначен,,бессрочно,
Барановская Ольга Ивановна,суд Солигорского района и г.Солигорска,судья,назначен,,бессрочно,
Гуров Сергей Викторович,суд г.Борисова,судья,назначен,,бессрочно,
Емельянчик Владимир Иванович,суд Вилейского района и г.Вилейки,судья по административным делам,назначен,,бессрочно,
Кобец Юрий Викторович,суд г.Борисова,судья,назначен,,бессрочно,
Кульбицкая Анастасия Евгеньевна,суд Минского района и г.Заславля,судья по административным делам,назначен,,бессрочно,
Куст Анна Трофимовна,суд Солигорского района и г.Солигорска,судья,назначен,,бессрочно,
Пастухова Светлана Михайловна,суд Слуцкого района и г.Слуцка,судья по административным делам,назначен,,бессрочно,
Русин Дмитрий Михайлович,05-012-03-01,судья,назначен,,бессрочно,
Холодок Наталья Аркадьевна,суд Слуцкого района и г.Слуцка,судья по административным делам,назначен,,бессрочно,
Новиков Валерий Иванович,06-000-03-01,судья,назначен,,бессрочно,
Пимашкова Алла Владимировна,06-002-03-01,судья,назначен,,бессрочно,
Яскович Виктор Константинович,суд Горецкого района и г.Горки,судья по административным делам,назначен,,бессрочно,
Кобышев Владимир Валерьевич,07-006-03-01,судья по административным делам,назначен,,бессрочно,
Томанов Алексей Анатольевич,07-007-03-01,судья по административным делам,назначен,,бессрочно,
























