ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Егоров Алексей Петрович,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Каменков Виктор Сергеевич,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Караткевич Екатерина Александровна,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Китаева Тамара Болеславовна,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Клименкова Маина Афанасьевна,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Козырева Лилия Григорьевна,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Мадудин Николай Дмитриевич,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Пазычук Николай Андреевич,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Раковец Михаил Максимович,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Цариков Александр Сергеевич,Высший Хозяйственный Суд,судья,назначен,,бессрочно,
Черникова Лариса Григорьевна,Высший Хозяйственный Суд,судья,назначен,,бессрочно,



