ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Александров Дмитрий Петрович,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Амбражевич Марина Ивановна,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Багдасаров Эрик Михайлович,хозяйственный суд Витебской области,судья,назначен,,бессрочно,
Глебов Петр Борисович,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Добранов Владимир Николаевич,хозяйственный суд Гродненской области,заместитель председателя,назначен,,бессрочно,
Добранов Владимир Николаевич,хозяйственный суд Гродненской области,судья,освобожден,,,
Жегулович Валерий Ефимович,хозяйственный суд Витебской области,судья,назначен,,бессрочно,
Кадач Олег Михайлович,хозяйственный суд Гродненской области,судья,назначен,,бессрочно,
Курпенкова Елена Владимировна,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Матвеенко Людмила Александровна,хозяйственный суд Минской области,судья,назначен,,бессрочно,
Никитин Сергей Николаевич,хозяйственный суд Минской области,судья,назначен,,бессрочно,


