ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Богданов Эдуард Сергеевич,суд г.Полоцка,судья,освобожден,выход в отставку,,
Макаров Нил Арсентьевич,суд г.Барановичи,судья,освобожден,выход в отставку,,
Мисник Виктор Павлович,05-012-03-01,судья,освобожден,выход в отставку,,
Савицкая Вера Федоровна,хозяйственный суд Минской области,судья,освобожден,выход в отставку,,
Скопцова Галина Александровна,07-006-03-01,судья,освобожден,выход в отставку,,
Смородова Тамара Сергеевна,хозяйственный суд Минской области,судья,освобожден,по собственному желанию,,
Татарицкий Владимир Иванович,05-013-03-01,судья,освобожден,выход в отставку,,
